Hour,Load_Profile
0,3664.9067
1,3697.577
2,3665.75
3,3483.4067
4,3133.0933
5,3160.7034
6,3183.95
7,3170.6401
8,3180.0632
9,3273.27
10,3214.7866
11,3104.97
12,3095.8765
13,3065.26
14,3051.95
15,3048.9067
16,3057.8167
17,2883.2466
18,2912.5068
19,2975.9402
20,2976.6367
21,2921.82
22,2934.1033
23,3153.3333
0,3155.79
1,3163.1965
2,3303.1167
3,3266.9265
4,3279.2834
5,3268.1733
6,3292.1902
7,3251.8567
8,3152.8933
9,3014.99
10,3091.3298
11,3363.3235
12,2659.7632
13,3124.1467
14,2576.7134
15,2251.5535
16,2274.5798
17,2334.6401
18,2262.0034
19,2265.3767
20,2252.9834
21,2257.8235
22,2284.9568
23,2298.23
0,2312.3833
1,2229.7368
2,2214.85
3,2240.8098
4,2226.7666
5,2246.6401
6,2187.46
7,2196.6633
8,2216.5366
9,2190.76
10,2221.34
11,2260.8298
12,2260.1333
13,2124.54
14,1999.1766
15,2137.0798
16,2063.6
17,2240.9568
18,2385.79
19,2335.0068
20,2334.7866
21,2111.7434
22,2280.3
23,2086.7
0,2439.7632
1,2418.35
2,2448.4167
3,2420.4402
4,2368.4834
5,2079.5867
6,2060.4834
7,2064.0034
8,2102.87
9,2140.6367
10,2175.5798
11,2168.76
12,2192.2632
13,2586.3567
14,2572.9368
15,2357.0432
16,2297.7166
17,2397.12
18,2462.7166
19,2434.0432
20,2293.4634
21,2197.1033
22,2270.73
23,2237.8765
0,2435.07
1,2614.9932
2,2644.3267
3,2525.307
4,2514.7466
5,2489.6667
6,2469.5366
7,2506.8267
8,2471.6265
9,2466.0166
10,2500.8132
11,2596.807
12,2558.9666
13,2592.443
14,2575.6133
15,2806.5034
16,2898.7568
17,2836.79
18,2869.24
19,2847.24
20,2829.8235
21,2797.52
22,2797.0432
23,2792.9734
0,2892.193
1,2668.9666
2,2513.4265
3,2571.0667
4,2521.2368
5,2532.9333
6,2537.15
7,2590.0234
8,2515.9932
9,2610.52
10,2708.3098
11,2799.9033
12,2782.9265
13,2768.15
14,2973.6667
15,3048.43
16,3059.2466
17,2995.8132
18,3041.5
19,3068.2666
20,3055.6533
21,2919.8765
22,3081.2466
23,2817.7966
0,2928.8235
1,2806.1367
2,2346.4834
3,2321.77
4,2337.1333
5,2341.57
6,2312.3467
7,2344.0632
8,2320.12
9,2344.76
10,2453.3667
11,3008.4634
12,2846.3599
13,2758.03
14,2730.1633
15,2756.16
16,2824.7266
17,3039.2268
18,3060.8599
19,2920.1333
20,2443.6133
21,2677.62
22,2733.6467
23,3021.1133
0,3016.3098
1,3015.1733
2,2999.9202
3,2919.84
4,2662.66
5,2667.6467
6,2659.6167
7,2681.3235
8,2444.3833
9,2445.0068
