Hour,Load_Profile
1,88.33744450000002
2,89.133577
3,90.20306030000002
4,88.373456
5,86.9467102
6,88.11409329999998
7,88.4317268
8,88.37807289999999
9,88.4769539
10,88.4450432
11,88.79109230000002
12,86.2093823
13,85.44087650000002
14,83.59044639999999
15,84.8587364
16,86.58767050000002
17,85.90499949999997
18,85.58492629999999
19,87.2202511
20,87.36257970000001
21,86.83504660000001
22,84.8654865
23,88.91054310000001
24,91.73624970000002
25,90.8108669
26,89.71081960000001
27,90.2672643
28,88.8324119
29,89.24204280000001
30,88.72305379999999
31,87.3860297
32,89.37951360000001
33,87.4259765
34,87.03260670000002
35,88.572559
36,88.6939903
37,87.17051710000003
38,87.50703310000002
39,85.42223000000001
40,83.57997680000003
41,83.81162670000002
42,83.64749640000002
43,82.68285980000002
44,81.89624090000001
45,81.5308839
46,80.5839936
47,82.11565999999999
48,82.66352360000002
49,83.3060429
50,84.41289009999998
51,85.0418964
52,85.10961010000001
53,85.18619690000001
54,86.00513770000002
55,85.83041010000001
56,85.2054168
57,83.76392980000001
58,84.56534329999998
59,84.766267
60,84.51919680000002
61,84.14844989999997
62,83.21479709999998
63,81.18257289999998
64,86.0549767
65,85.74439960000001
66,84.46908789999999
67,85.71446050000002
68,85.62857739999998
69,85.49777639999999
70,85.78746999999998
71,86.67538080000003
72,86.50281729999999
73,85.8637259
74,84.79147399999998
75,84.14352550000002
76,84.39570939999997
77,84.93836719999999
78,84.07716719999999
79,82.826164
80,81.30125939999999
81,80.1289435
82,80.5516272
83,81.70767939999998
84,84.68144709999999
85,83.09464990000001
86,83.49287750000002
87,83.50588450000001
88,82.20314299999998
89,83.3724342
90,85.1873869
91,86.77159669999999
92,86.36432939999999
93,85.22758069999999
94,86.1424772
95,85.4564702
96,85.47633269999999
97,83.25819410000004
98,83.54587009999999
99,82.7727795
100,82.49505730000003
101,84.04281930000002
102,83.40605710000001
103,83.8384558
104,85.06491010000002
105,86.4350964
106,87.87417990000002
107,87.87384
108,87.27293719999999
109,87.3414199
110,87.77055560000001
111,87.83508020000001
112,87.2685693
113,85.84109150000002
114,85.0197469
115,85.18370960000001
116,85.62395710000001
117,86.25542110000002
118,85.73903419999998
119,86.03858940000002
120,87.57810329999997
121,89.29909930000002
122,88.98724019999999
123,89.53675229999997
124,87.55523939999999
125,87.27832369999999
126,86.1275292
127,85.6270939
128,85.91524660000002
129,85.65702989999998
130,86.134824
131,88.1150334
132,87.97796290000001
133,87.5153297
134,89.5276974
135,90.21646940000001
136,89.88264699999998
137,89.33857710000001
138,89.97854619999998
139,89.65242250000001
140,90.04613970000001
141,91.38120050000002
142,91.2494103
143,91.29197009999997
144,87.6022298
145,86.76194979999995
146,87.71677630000002
147,86.30212999999999
148,87.2934763
149,88.43515609999999
150,89.21182029999999
151,89.06000900000002
152,90.90704699999999
153,91.60542629999999
154,91.2244869
155,90.5775302
156,90.77119319999997
157,89.10813029999998
158,90.13966440000002
159,90.9063888
160,89.47561020000002
161,89.4006526
162,87.55106610000001
163,87.4183232
164,86.3681076
165,84.7854159
166,86.13235699999998
167,85.61952609999999
168,85.91285069999998
169,85.40532050000002
170,87.23758039999998
171,88.43283089999998
172,88.43498290000001
173,88.2110876
174,87.7435021
175,84.82801610000003
176,84.6056607
177,85.2095498
178,85.89069670000002
179,87.25846319999997
180,89.6977395
181,87.96127019999999
182,90.0916664
183,89.58375099999999
184,88.3870137
185,87.54502780000003
186,84.47663969999999
187,88.56782259999999
188,88.8125634
189,89.24793369999999
190,90.72632199999997
191,90.44588720000002
192,89.7286403
193,87.6986008
194,89.94471779999998
195,87.6111664
196,87.3591471
197,87.053961
198,86.2616932
199,85.0703834
200,84.65457330000001
201,85.094307
202,86.0681638
203,83.53170019999997
204,83.27315249999998
205,83.6464466
206,82.06984310000001
207,80.1779426
208,82.40165700000001
209,86.8090173
210,85.8695327
211,83.8862968
212,83.60743730000002
213,82.2283566
214,83.037947
215,84.0369929
216,84.91654269999997
217,84.2108668
218,84.01681619999998
219,84.409947
220,83.54962640000001
221,83.3327699
222,82.6448207
223,82.820774
224,82.15867329999999
225,84.56205369999999
226,87.20934099999998
227,89.28110740000001
228,87.17804339999999
229,86.5863806
230,85.89098640000002
231,84.3862504
232,81.63572700000002
233,81.52296649999997
234,82.16488030000001
235,82.9288933
236,80.47643339999998
237,79.40685649999999
238,81.02223349999998
239,81.5535235
240,83.70368239999999
241,84.59601390000002
242,85.1267524
243,84.77001420000002
244,83.76673000000001
245,82.15698030000001
246,81.94932589999999
247,80.6562677
248,79.36595590000002
249,78.2373829
250,78.7784639
251,78.44515409999998
252,77.1310092
253,77.3821306
254,77.14356749999997
255,75.04490369999999
256,76.07046000000001
257,79.93867459999998
258,79.40498000000001
259,78.9782804
260,80.09403670000002
261,80.3356236
