Hour,Load_Profile
0,2862.0166
1,2927.5767
2,3051.4368
3,2930.5833
4,3077.9834
5,3118.9766
6,2961.53
7,2993.3933
8,2828.65
9,2684.0735
10,2808.85
11,2850.3933
12,2819.3735
13,2756.4167
14,2861.65
15,2883.7966
16,2680.9568
17,3034.8267
18,3276.6067
19,2894.6868
20,2906.9333
21,2942.7932
22,3038.8967
23,3281.0068
0,3324.2
1,3203.0898
2,3267.66
3,2772.5132
4,3684.193
5,3866.1702
6,3875.1533
7,3874.2368
8,3869.9834
9,3902.3235
10,3870.8633
11,3888.9402
12,3943.6467
13,3912.443
14,3867.1235
15,3789.6467
16,3775.1633
17,3736.7368
18,3732.1902
19,3747.15
20,3737.8735
21,3708.0266
22,3738.7898
23,3800.4634
0,3734.7568
1,3670.0034
2,3901.8833
3,4044.7368
4,4049.98
5,4071.4666
6,4084.557
7,4090.2766
8,3803.2134
9,4298.25
10,4355.56
11,4374.7
12,3710.85
13,3548.82
14,3671.0667
15,3821.3633
16,3935.91
17,4002.57
18,4030.73
19,4013.3867
20,4024.0933
21,4000.6265
22,4032.7466
23,4029.7766
0,4008.8765
1,3907.6401
2,3866.3901
3,3890.59
4,3820.1533
5,3668.28
6,3649.1033
7,3658.1965
8,3666.3735
9,3701.9766
10,3757.1965
11,3751.5867
12,3739.45
13,3734.6467
14,3648.5535
15,2470.307
16,2494.2134
17,2472.9465
18,2463.78
19,2458.1333
20,2478.52
21,2457.18
22,2463.3035
23,2453.99
0,2486.2935
1,2467.7034
2,2338.9666
3,2339.1868
4,2329.8
5,2342.1567
6,2338.4534
7,2348.0598
8,2340.2134
9,2373.2866
10,2396.5334
11,2412.2632
12,2647.8467
13,2419.6333
14,2403.0234
15,2404.49
16,2386.8533
17,2448.2334
18,2510.8235
19,2576.6033
20,2580.4534
21,2593.6533
22,2550.6433
23,2020.59
0,1789.9934
1,1786.95
2,1786.4368
3,1785.9967
4,1785.3367
5,1784.7867
6,1785.1534
7,1784.8966
8,1785.1167
9,1785.5566
10,1785.6666
11,1786.2899
12,1786.8767
13,1779.0299
14,2259.29
15,3296.48
16,3525.9033
17,3556.5933
18,3201.22
19,3152.1965
20,3132.3235
21,3171.7766
22,3175.1133
23,3175.7
0,3294.6833
1,3684.2666
2,3667.2534
3,3773.3667
4,3670.04
5,3738.5334
6,3891.3235
7,3665.7134
8,3684.1567
9,3527.0767
10,3503.9033
11,3518.8633
12,3517.03
13,3999.5266
14,4049.0632
15,4017.75
16,3816.45
17,3502.4
18,3164.48
19,3152.82
20,3385.47
21,3618.78
22,3705.0933
23,3547.6467
0,3306.5632
1,3312.6868
2,3310.23
3,3180.1367
4,3259.1902
5,3308.91
6,3311.3298
7,3302.75
8,3424.0068
9,3394.93
10,3232.9734
11,2932.1235
12,3136.6868
13,3139.1067
14,3223.66
15,3475.3035
16,3486.6702
17,3586.99
18,3958.0935
19,3979.9465
20,3947.057
21,3962.3467
22,3954.3167
23,3873.4666
0,3732.9233
1,3903.13
2,3955.7466
3,3956.4067
4,3967.4067
5,3941.8867
6,3963.96
7,3622.1167
8,3448.5366
9,3461.7734
10,3453.8901
11,3432.0735
12,3457.3
13,3440.2134
14,3452.79
15,3460.38
16,3446.1902
17,3473.9465
18,3537.7466
19,3502.0334
20,3459.1333
21,3313.4202
22,3267.1467
23,3252.7734
0,3258.5667
1,3230.26
2,3423.53
3,3671.91
4,3744.62
5,3737.47
6,3704.4333
7,3713.5632
8,3733.1433
9,3540.1667
10,3235.32
11,3295.4534
12,3233.6333
13,3280.0535
14,3274.2234
15,3054.6265
16,3112.1567
17,3441.8633
18,3552.4868
19,3624.8298
20,2943.9666
21,2920.28
22,2953.28
23,3423.2734
0,3586.2568
1,3503.9766
2,3307.1868
3,3320.4233
4,3304.0334
5,3324.1265
6,2898.28
7,2811.6733
8,2806.65
9,2815.7432
10,2795.1
11,2755.9766
12,2813.03
13,2399.1
14,2178.11
15,2170.52
16,2552.2568
17,2906.6401
18,2974.62
19,2956.9465
20,2962.1167
21,2948.6965
22,3067.2766
23,2938.5034
0,2711.4265
1,2896.3
2,2399.5767
3,2361.2966
4,2351.9834
5,2471.7368
6,2712.6733
7,2698.6667
8,2689.8667
9,2714.5068
10,2709.63
11,2731.9233
12,2983.4932
13,3120.6633
14,3203.9333
15,3184.28
16,3179.8433
17,3177.0933
18,3172.1067
19,3165.8
20,3153.2966
21,3186.0767
22,3088.3235
23,2918.2632
0,2595.6702
1,2528.57
2,2538.9834
3,2450.9465
4,2418.13
5,2428.0667
6,2409.3298
7,2336.8035
8,2180.6033
9,2202.4202
10,2204.1433
11,2217.5632
12,2197.1033
13,2737.35
14,2967.91
15,2970.1833
16,2939.2368
17,2938.54
18,2998.5632
19,3291.53
20,3264.9834
21,2972.8967
22,2972.1633
23,2883.7966
0,2735.26
1,3154.47
2,3417.5166
3,3375.4233
4,3213.8333
5,3192.4568
6,3223.0735
7,3052.0598
8,2911.7
9,2915.88
10,3187.7632
11,2853.62
12,2318.3599
13,2166.4868
14,2213.3467
15,2403.1702
16,2747.9834
17,2839.1367
18,3274.7734
19,3632.4568
20,3357.7866
21,3265.4966
22,2865.6467
23,2584.9265
0,2477.9333
1,2619.98
2,2854.5735
3,2940.7766
4,2478.1533
5,2425.61
6,2423.7034
7,2421.65
8,2469.3167
9,2048.7866
10,2042.3334
11,2281.3633
12,2342.4868
13,2534.29
14,2553.65
15,2583.0933
16,2716.8533
17,2621.4834
18,2904.6235
19,3007.8765
20,2968.57
21,2797.3
22,3138.6667
23,3032.1133
0,3269.8967
1,3085.7932
2,3171.1902
3,3216.29
4,3198.3235
5,3160.9602
6,3153.0034
7,2845.9932
8,2343.9167
9,2103.2368
10,2131.9468
11,2143.6067
12,2152.8467
13,2182.2166
14,2150.1333
15,2387.77
16,2410.1733
17,2579.72
18,2535.8667
19,2513.9033
20,2627.1667
21,2844.27
22,2816.4766
23,2775.5933
0,2991.6702
