,total_power
1416,64536.05350000001
1417,64472.72000000001
1418,64542.19300000001
1419,64567.153300000005
1420,64616.68000000001
1421,64631.60990000001
1422,64735.66000000001
1423,64830.80000000001
1424,64509.88330000001
1425,72794.8162
1426,75258.4398
1427,77748.20719999999
1428,77082.2933
1429,75978.9101
1430,78239.7679
1431,78384.2228
1432,80014.1195
1433,80036.00039999999
1434,86605.18980000001
1435,88997.23959999999
1436,91276.3927
1437,83735.33280000002
1438,83785.84990000002
1439,83511.75640000003
1440,82973.95960000002
1441,83159.0432
1442,83451.99990000001
1443,82860.7393
1444,83293.9095
1445,81704.19589999999
1446,79107.08759999998
1447,79329.0575
1448,78504.8901
1449,79349.16709999998
1450,78395.4563
1451,77955.8869
1452,78572.46350000001
1453,78010.2802
1454,78116.5673
1455,79130.75650000002
1456,78362.43270000002
1457,79280.44680000002
1458,80548.0391
1459,81686.05299999999
1460,81282.7106
1461,82043.3858
1462,80825.1265
1463,81977.7332
1464,81252.8999
1465,80350.41349999998
1466,80080.17020000001
1467,80258.69019999997
1468,78942.3104
1469,77755.26899999999
1470,77650.42899999999
1471,76768.8432
1472,74787.54950000001
1473,76101.78319999999
1474,78413.1314
1475,79023.8772
1476,78484.09710000001
1477,78716.2602
