Hour,Load_Profile
0,3109.1133
1,3296.443
2,3266.2666
3,3239.0234
4,3166.057
5,3211.1567
6,3263.8098
7,3292.52
8,3201.7334
9,3279.5034
10,3310.8901
11,3482.49
12,3350.3433
13,3091.22
14,3172.0334
15,3142.7734
16,3294.1702
17,3138.5933
18,3455.43
19,3248.85
20,3224.87
21,3142.2234
22,3445.53
23,3634.1067
0,3683.7166
1,4030.5833
2,4015.2932
3,4025.193
4,4020.0234
5,3948.7432
6,3622.63
7,3586.4766
8,2894.5767
9,3039.3735
10,3287.2397
11,3386.827
12,3131.6633
13,3027.97
14,2783.4766
15,2308.13
16,2694.1567
17,2624.6
18,2617.34
19,2627.2766
20,2577.0068
21,2404.1235
22,2194.8298
23,2189.22
0,2207.7
1,2280.7034
2,2502.9033
3,2759.423
4,2746.8833
5,2745.0867
6,2752.8599
7,2649.4966
8,2361.443
9,2372.8467
10,2369.4368
11,2372.59
12,2374.3132
13,2373.47
14,2366.87
15,2342.0466
16,2359.6467
17,2357.85
18,2359.9766
19,2349.9666
20,2564.43
21,2731.1902
22,2731.1902
23,2657.8567
0,2605.4966
1,2266.77
2,1978.5333
3,1981.0267
4,2331.4133
5,3362.59
6,3371.9766
7,3361.4897
8,3363.6902
9,3366.5132
10,3373.1133
11,3767.9033
12,3753.6033
13,3746.93
14,3656.8035
15,3358.3367
16,2563.0735
17,2376.8433
18,2375.4868
19,2384.7632
20,2379.4834
21,2668.6733
22,2719.8967
23,2407.3132
0,2561.02
1,2722.7932
2,2606.01
3,2378.6033
4,2364.6702
5,2369.2166
6,2363.68
7,2363.4233
8,2833.16
9,3716.0933
10,3715.1401
11,3720.0535
12,3718.6235
13,3725.3333
14,3725.4067
15,3363.5432
16,2365.807
17,2548.2234
18,2407.4966
19,2184.5632
20,2175.8367
21,2177.9268
22,2177.0466
23,2194.8667
0,3534.3735
1,3807.7234
2,3798.1533
3,3739.5598
4,3720.2734
5,3724.1965
6,3725.7368
7,3724.3433
8,3726.3967
9,3754.557
10,3792.5435
11,3796.65
12,3787.3735
13,3801.16
14,4054.4534
15,4065.4534
16,4062.4465
17,4104.357
18,3976.8298
19,3991.57
20,3951.6765
21,3939.6133
22,3978.15
23,3935.6902
0,3895.2834
1,3915.0833
2,3890.0034
3,3941.52
4,3985.1902
5,4110.2236
6,3932.3167
7,4263.783
8,4216.7036
9,4241.1235
10,3734.1333
11,3801.8933
12,3339.6
13,3395.48
14,3439.8098
15,2866.307
16,2760.34
17,2688.8035
18,2490.9868
19,2779.9568
20,2782.9265
21,2836.0935
22,2823.3333
23,2869.9
0,2964.5735
1,3076.9568
2,3019.6099
3,3025.4766
4,3006.1167
5,3022.5432
6,2982.1
7,3000.6533
8,3008.2068
9,3209.8
10,3257.3567
11,3212.807
12,3340.5166
13,3731.09
14,3521.1
15,3550.8367
16,3529.35
17,3514.6833
18,3204.0798
19,3072.2632
20,3018.29
21,2934.7632
22,2989.5798
23,2997.72
0,3051.2166
1,3034.3132
2,3103.1367
3,3017.4834
4,2997.0234
5,3039.7766
6,2989.8735
7,3000.7632
8,3576.0632
9,3232.7166
10,2970.7334
11,2951.8867
12,2889.5535
13,2959.4766
14,3030.3901
15,3212.4402
16,3220.4333
17,2855.38
18,2590.4265
19,2518.7432
20,2539.46
21,2623.5366
22,2786.4465
23,3291.7866
0,3363.91
1,3324.97
2,3258.8235
3,3227.8765
4,3097.16
5,3133.35
6,3124.0735
7,3088.9465
8,2820.18
9,2972.8967
10,2995.96
11,2920.9402
12,3322.0735
13,3097.1235
14,3309.4966
15,3190.55
16,3458.9133
17,3267.66
18,3281.7766
19,3008.3901
20,2539.02
21,2621.4834
22,2300.2466
23,2369.18
0,2364.12
1,2472.7266
2,2457.84
3,2391.4368
4,2425.9402
5,2386.7434
6,2400.8235
7,2272.38
8,2289.2834
9,2525.27
10,2160.29
11,2089.4133
12,2010.1033
13,2125.1267
14,2099.4233
15,2319.057
16,2314.5466
17,2326.5
18,2303.4734
19,2250.27
20,2257.53
21,2257.6033
22,2285.6167
23,2458.9766
0,2302.0798
1,1613.5167
2,1613.2233
3,1613.2968
4,1613.3334
5,1769.7167
6,2274.6533
7,2278.1733
8,2276.78
9,2324.8132
10,3703.8833
11,3446.0798
12,2826.8533
13,1690.2966
14,1689.8201
15,1861.09
16,1956.9733
17,1961.63
18,1913.2667
19,1914.0734
20,1947.0367
21,1951.2899
22,1944.14
23,1956.8633
0,2066.3135
1,2592.9202
2,2465.6868
3,2442.0735
4,2412.7034
5,2404.7834
6,2414.72
7,2411.3098
8,2422.7134
9,2250.6367
10,1935.6333
11,2005.9233
12,2870.4133
13,2017.84
14,2032.8
15,1996.9767
16,2012.0834
17,2162.5635
18,2163.15
19,2104.74
20,2311.0632
21,2769.1765
22,2791.5798
23,2894.98
0,2762.0632
1,2534.3633
2,2536.49
3,2520.2834
4,2520.1367
5,2490.73
6,2523.693
7,2456.2632
8,2404.8933
9,2318.6167
10,2321.2568
11,2394.7734
12,2540.2666
13,2132.79
14,2324.52
15,2253.79
16,2038.9233
17,1962.8033
18,1979.9633
19,1975.4534
20,1984.8033
21,1980.2933
22,2332.8433
23,2917.1633
0,2940.96
1,2976.8933
2,2985.5833
3,2957.8633
4,2985.4734
5,2936.5234
6,2914.23
7,2865.9766
8,2902.6433
9,2922.0767
10,2889.15
11,2405.4067
12,1843.9299
13,1871.8334
14,1914.5867
15,1852.84
16,1988.2867
17,2074.9302
18,2028.9866
19,2031.6267
20,2337.6467
21,2714.6902
22,2679.7834
23,2802.3599
0,2428.3235
1,2129.8933
2,2149.2166
3,2223.2834
4,2178.6965
5,2022.8267
6,2023.3033
7,2022.02
8,1934.7534
9,1944.91
10,2445.4465
11,2492.1965
12,2468.1433
13,2551.8533
14,2325.95
