Hour,Load_Profile
0,2929.74
1,3031.4534
2,3137.2
3,3086.4167
4,3080.4766
5,2942.2068
6,2904.6965
7,3592.3433
8,3523.1533
9,3352.2134
10,3215.41
11,2946.3867
12,3135.6235
13,3069.0735
14,2883.943
15,3171.0068
16,3386.7166
17,3460.1235
18,3368.2368
19,3102.4402
20,2970.8433
21,2815.12
22,3530.3767
23,3616.47
0,3719.98
1,3710.63
2,3729.6235
3,2967.9465
4,3010.9202
5,2963.4
6,3009.7466
7,2991.5598
8,2985.29
9,2939.09
10,3436.7666
11,3737.5432
12,3623.29
13,3459.1333
14,3193.3
15,3073.3267
16,2941.2534
17,2469.3533
18,2508.4033
19,2556.84
20,2494.6167
21,2540.4868
22,2494.2866
23,2525.0132
0,2519.4766
1,2549.8
2,2482.6265
3,2494.6902
4,2445.7034
5,3070.9067
6,3179.0366
7,3148.0535
8,3069.4402
9,3119.7466
10,3041.5366
11,3130.4534
12,3128.84
13,2940.0068
14,2817.7966
15,2687.3367
16,2775.41
17,2779.1868
18,2656.9402
19,2533.557
20,2758.47
21,2727.2666
22,2715.8633
23,2720.3367
0,2710.7666
1,2612.9033
2,2540.5967
3,2558.38
4,2660.79
5,2642.1633
6,2604.6533
7,2650.6333
8,2636.37
9,2554.8235
10,2994.53
11,3125.6133
12,3070.6868
13,3046.6702
14,3204.7034
15,3255.3765
16,3237.1167
17,3076.0034
18,3100.8633
19,2866.0132
20,2884.53
21,2850.2834
22,2879.2134
23,2917.7866
0,2953.3167
1,2946.1667
2,3006.8867
3,2989.9102
4,2983.8967
5,2850.5034
6,2787.3633
7,2830.9233
8,2810.6833
9,2886.2166
10,3058.3667
11,2940.2266
12,3019.9766
13,3147.0266
14,3060.8967
15,3063.8298
16,3153.8833
17,2894.1733
18,2830.1533
19,2878.7734
20,3158.54
21,3110.3235
22,3124.7334
23,3117.29
0,3137.4202
1,3126.6033
2,3116.63
3,3103.0632
4,3113.66
5,3132.1033
6,3088.47
7,3112.5967
8,3081.943
9,3038.8967
10,3108.8567
11,3140.7932
12,3182.7034
13,3059.21
14,2891.35
15,2889.15
16,2844.2334
17,2780.2866
18,2524.4634
19,2220.6433
20,2223.7234
21,2237.18
22,2442.88
23,2912.03
0,3010.5166
1,3591.2432
2,3880.7266
3,3948.5234
4,3936.2034
5,3899.1333
6,3902.8367
7,3857.15
8,3772.6333
9,3769.15
10,3347.0068
11,2991.34
12,3090.8533
13,3067.9
14,3028.5564
15,3241.7368
16,3160.0432
17,3097.16
18,3098.7
19,3078.5334
20,3060.0535
21,3049.97
22,2952.5466
23,1805.1733
0,1847.7799
1,1858.01
2,1789.26
3,1827.6868
4,1839.2367
5,1837.4032
6,1840.0066
7,1838.0632
8,1838.3933
9,1837.3667
10,1837.6233
11,1836.7799
12,1820.5734
13,1865.27
14,1895.4467
15,2033.9
16,2170.3735
17,2119.1868
18,2230.1033
19,1884.85
20,2265.5598
21,2443.1733
22,2121.0566
23,1919.7201
0,2117.5366
1,2200.88
2,2214.0068
3,2196.8833
4,1984.5466
5,1829.7767
6,1748.34
7,1748.6333
8,2086.7
9,2088.0933
10,2106.72
11,1942.16
12,2033.2034
13,2037.7133
14,2173.0132
15,2408.8901
16,2410.4666
17,2133.4133
18,2052.27
19,2164.3967
20,1983.7034
21,1771.9534
22,1867.6534
23,1970.2833
0,2083.0334
1,2100.4868
2,2100.0833
3,2027.4833
4,2106.6833
5,2140.3066
6,2126.5933
7,2134.7334
8,2048.64
9,2139.8298
10,2518.4868
11,2719.5667
12,2514.71
13,2420.2568
14,2096.1233
15,2259.0334
16,2275.1667
17,2315.0234
18,2204.8765
19,2208.91
20,2240.15
21,2254.3765
22,2136.7134
23,1858.34
0,3880.8
1,4178.1665
2,4196.83
3,4192.43
4,4182.677
5,4181.43
6,3961.3567
7,3865.29
8,2227.5
9,1610.2899
10,1609.9966
11,1740.2
12,2030.8201
13,1945.4601
14,2032.6534
15,2016.1534
16,2007.4633
17,1996.4633
18,1759.45
19,1719.3
20,2014.9434
21,1926.5399
22,2009.6267
23,1957.4133
0,2082.4834
1,2015.3833
2,1992.7966
3,1958.6233
4,1950.2267
5,2000.9
6,1986.4534
7,2003.2101
8,1935.7434
9,1613.7
10,1612.0867
11,1612.3434
12,1612.49
13,1613.0767
14,1612.7833
15,1634.5267
16,1610.6934
17,1611.28
18,1611.17
19,1610.18
20,1612.27
21,1611.2067
22,1613.92
23,1611.4634
0,1613.0767
1,1612.3066
2,1612.6733
3,1611.7933
4,1613.0399
5,1612.49
6,1611.5734
7,1612.8201
8,1612.6367
9,1611.61
10,1610.5834
11,1612.6
12,1634.2333
13,1680.4701
14,1613.7
15,1639.0
16,1630.2367
17,1615.4601
18,1609.4833
19,1609.8867
20,1608.86
21,1616.1934
22,1667.1967
23,1784.5667
0,1853.39
1,1855.59
2,1853.0233
3,1854.7833
4,1848.9534
5,1843.7101
6,1854.2333
7,1852.5834
8,1855.9567
9,1839.86
10,1809.06
11,1808.4
12,1813.4966
13,1807.0066
14,1802.5333
15,1802.9733
16,1800.4434
17,1801.8
18,1802.7534
19,1798.06
20,1803.01
21,1803.3033
22,1804.7333
23,1802.9368
0,1804.88
1,1801.5433
2,1801.1034
3,1799.8567
4,1802.4966
5,1801.3234
6,1801.36
7,1797.73
8,1798.4633
9,1798.2434
10,1799.5632
11,1798.39
12,1800.6633
13,1802.2034
14,1799.3434
15,1798.3534
16,1798.5
17,1801.3234
18,1752.0066
19,1610.9135
20,1741.1167
21,1805.2466
22,1809.4266
23,1770.34
0,1806.8234
1,1806.42
2,1810.1967
3,1808.73
4,1805.5767
5,1800.59
6,1809.83
7,1803.9633
8,1806.09
9,1799.49
10,1803.0834
11,1812.14
12,1810.3801
13,1810.3434
14,1812.9467
15,1810.7833
16,1814.5966
17,1814.6699
18,1822.7
19,1815.0
20,1817.09
21,1817.0533
22,1814.01
23,1819.3267
0,1813.4233
1,1824.4601
2,1820.17
3,1820.5734
4,1813.9733
5,1817.3466
6,1820.6466
7,1817.3466
8,1811.81
9,1819.0701
10,1813.9368
11,1815.1833
12,1812.8
13,1818.41
14,1813.2034
15,1818.52
16,1817.0533
17,1814.4133
18,1817.86
19,1812.8
20,1812.1766
21,1813.9368
22,1811.7366
23,1809.39
0,1812.9467
1,1812.0299
2,1809.4633
3,1815.33
4,1817.5667
5,1812.14
6,1817.64
7,1810.16
8,1819.4733
9,1818.08
10,1808.2167
11,1813.4966
12,1820.7201
13,1820.1333
14,1815.2201
15,1813.3132
16,1815.5133
17,1932.0034
18,4362.197
19,4223.5967
