Hour,Load_Profile
0,4094.2734
1,3756.8298
2,4391.86
3,4401.0264
4,4384.636
5,4400.0366
6,4361.83
7,4361.5366
8,4391.567
9,4459.18
10,4426.6567
11,3861.4402
12,3756.9033
13,3653.4666
14,3638.2866
15,3653.21
16,3644.1167
17,3642.9065
18,3661.35
19,3587.1367
20,3584.2766
21,3494.04
22,3671.1765
23,4100.2866
0,4286.0034
1,4158.0366
2,4180.77
3,4222.4966
4,4205.52
5,4185.9033
6,4170.0264
7,4202.7334
8,3958.3867
9,3791.1133
10,3793.3132
11,3810.2166
12,3851.87
13,3848.57
14,3841.09
15,3747.0034
16,3672.1667
17,3720.97
18,2782.23
19,2925.1567
20,2925.3035
21,2448.49
22,2506.02
23,2499.6401
0,2501.8765
1,2490.4
2,2482.9568
3,2470.4167
4,2489.9233
5,2495.5334
6,2498.943
7,2190.5034
8,2172.72
9,2056.9268
10,1973.4368
11,2037.5299
12,2038.3365
13,2031.5167
14,2030.9299
15,1949.2
16,2604.91
17,2505.5068
18,2560.3967
19,2578.3267
20,2583.6067
21,2566.0432
22,2742.0798
23,2814.2034
0,2813.1033
1,2777.9402
2,2801.59
3,2749.0466
4,2553.5034
5,2551.8167
6,2546.9402
7,2542.0632
8,2547.1235
9,2634.9402
10,2607.8433
11,2610.85
12,2601.4265
13,1982.0533
14,2122.9634
15,2057.66
16,2009.2966
17,2265.3035
18,2303.8035
19,2329.6902
20,2301.53
21,2317.5535
22,2269.96
23,2068.1833
0,2178.807
1,2205.7932
2,2171.2166
3,2193.8765
4,2163.15
5,2144.01
6,2128.6833
7,2270.8035
8,2437.1965
9,2454.8333
10,2450.6533
11,2181.52
12,2182.5466
13,2378.8235
14,2217.0132
15,2197.1033
16,2368.1533
17,2367.6401
18,2357.557
19,2369.4
20,2367.8235
21,2301.8967
22,2204.693
23,2293.6099
0,2319.9
1,2331.4868
2,2325.84
3,2307.4333
4,2272.7834
5,2282.1702
6,2270.4368
7,2274.5798
8,2276.3765
9,2276.1567
10,2303.3633
11,2302.85
12,2409.3298
13,2625.0767
14,2641.1733
15,2638.46
16,2624.4534
17,2540.45
18,2288.4766
19,2558.6367
20,2613.0132
21,2548.2234
22,2287.6333
23,2473.8633
0,2586.0632
1,2309.4133
2,2386.6333
3,2534.3267
4,2529.193
5,2522.7766
6,2522.5933
7,2518.12
8,2524.4265
9,2525.3433
10,2535.7932
11,2665.8132
12,2669.15
13,2669.1133
14,2672.0833
15,2676.96
16,2673.88
17,2580.05
18,2476.7966
19,2236.63
20,2620.3098
21,2951.3367
22,2754.62
23,2420.6965
0,2426.0132
1,2427.7
2,2326.0598
3,2274.6533
4,2269.7766
5,2282.4265
6,2283.1965
7,2277.3298
8,2274.25
9,2304.6099
10,2366.32
11,2430.0833
12,2397.7432
13,2447.1333
14,2459.71
15,2472.1033
16,2413.2534
17,2477.3467
18,2476.32
19,2490.1433
20,2306.04
21,2462.0933
22,2407.3867
23,2457.73
0,2455.6033
1,2434.7034
2,2436.8667
3,2444.6401
4,2470.0867
5,2436.9402
6,2454.21
7,2457.3633
8,2292.4734
9,2262.15
10,2250.4534
11,2235.7866
12,2156.55
13,1969.5133
14,2628.6333
15,3591.3901
16,3174.7466
17,3278.1467
18,3298.2034
19,3342.4233
20,3260.29
21,2943.1235
22,3189.23
23,3283.4634
0,3134.193
1,2991.193
2,2982.7234
3,3030.2068
4,3047.44
5,3053.6367
6,3049.7134
7,3042.8567
8,3045.057
9,3058.0735
10,3466.0266
11,3713.7102
12,3602.6099
13,3609.6133
14,3461.6633
15,3263.8467
16,3301.6868
17,3289.55
18,3228.5735
19,3205.9868
20,3204.2266
21,3216.6567
22,3221.5334
23,3512.74
0,3459.1333
1,3376.2666
2,3207.0132
3,3058.6235
4,3048.9067
5,3047.7334
6,3054.0034
7,3054.26
8,3061.0432
9,3182.8867
10,3327.5735
11,2249.3533
12,2114.0535
13,2408.7432
14,1780.1666
15,1955.8733
16,2241.8367
17,2242.79
18,2264.7534
19,3020.6
20,3533.7134
21,3546.95
22,3344.77
23,3220.1033
0,2550.02
1,1840.5566
2,1769.13
3,1758.9368
4,1747.9733
5,1796.5934
6,1882.65
7,1901.2767
8,1897.6466
9,1863.1067
10,1913.56
11,2179.4666
12,2520.8333
13,2563.6235
14,2626.47
15,2551.193
16,2611.5466
17,2372.6633
18,2662.77
19,2690.5266
20,2545.84
21,2643.85
22,2788.9402
23,2545.9868
0,2559.04
1,2431.3298
2,2359.6833
3,2282.4265
4,2202.8599
5,2208.0667
6,2191.4202
7,1900.2867
8,1958.11
9,1909.6
10,1657.4434
11,1656.4534
12,1775.8767
13,2011.8267
14,3104.4568
15,3573.4233
16,3575.4402
17,3542.3667
18,2890.8367
19,2899.82
20,3016.5667
21,2976.82
22,3205.73
23,3182.2266
0,2361.5166
1,1962.1799
2,1770.6333
3,1673.9434
4,1672.55
5,1673.1
6,1672.44
7,1697.9233
8,1732.9767
9,1732.5734
10,1858.7067
11,2193.07
12,2476.3933
13,2208.9465
14,2412.1902
15,2662.9167
16,2786.3735
17,2081.0166
18,2208.1033
19,2302.557
20,2229.1133
21,2178.9167
22,2192.9966
23,2340.2866
0,2478.7766
1,2096.5266
2,1989.7899
3,1927.75
4,1952.39
5,1932.6633
6,1913.8534
7,1931.7466
8,1856.3234
9,1715.4133
10,1820.94
11,2119.37
12,2130.6267
13,2888.16
14,2922.9202
15,2919.8035
16,2915.9167
17,2915.99
18,2924.5334
19,2916.7234
20,2926.9167
21,2869.057
22,2755.6833
23,2532.8599
0,2458.2432
1,2591.8933
2,2511.8867
3,2403.28
4,2376.0366
5,2384.4333
6,2385.35
7,2384.2134
8,2407.9
9,2489.4834
10,2575.2834
11,3250.1702
12,3139.1433
13,3084.4368
14,2922.9202
15,2970.6235
16,2812.9202
17,2611.5466
18,2608.0266
19,2694.01
20,2675.4202
21,2843.5
22,2781.2766
23,2767.2334
0,2722.9033
1,2585.99
2,2735.15
3,2756.5632
4,2698.4465
5,2585.0366
6,2733.8667
7,2754.7666
8,2689.0598
9,2572.35
10,2885.6667
11,3123.1567
12,3374.2134
13,3362.443
14,3347.0432
15,3369.52
16,3368.5667
17,3363.7266
18,3359.07
19,3365.4868
20,3367.98
21,3362.3333
22,3370.6567
23,3369.7766
0,3371.0598
1,3367.943
2,3370.95
3,3365.8901
4,3372.6367
5,3370.9133
6,3367.6868
7,3353.7166
8,3374.5432
9,3374.7632
10,3263.04
11,3661.8633
12,3658.8567
13,3655.1167
14,3649.03
15,3652.4033
16,3651.7434
17,3650.8267
18,3649.1033
19,3626.15
20,3569.6833
21,3090.7068
22,3828.0
23,4019.1067
0,3890.9202
1,3854.0334
2,3896.75
3,3848.7166
4,3832.07
5,3910.0234
6,3946.1033
7,3899.9766
8,3909.3633
9,3915.2666
10,3911.2334
11,3610.5667
12,3232.35
13,3362.59
14,3360.4265
15,3348.1067
16,3353.4233
17,3356.7966
18,3355.807
19,3333.4033
20,3365.4868
21,3369.2266
22,3365.45
23,3342.46
0,3372.49
1,3368.0166
2,3372.6733
3,3367.2834
4,3366.4033
5,3372.9666
6,3366.55
7,3360.6833
8,3365.7432
9,3368.8967
10,3364.6067
11,3372.8567
