Hour,Load_Profile
0,2567.2166
1,2674.32
2,2537.1868
3,2525.6
4,2500.7034
5,2460.5166
6,2485.9634
7,2486.5867
8,2391.73
9,2334.8967
10,2294.3433
11,2772.77
12,2866.0132
13,2791.3967
14,2809.4
15,2774.0535
16,2886.693
17,2953.0598
18,3174.49
19,3239.8667
20,3263.59
21,3246.2466
22,3296.9932
23,3307.15
0,3088.0667
1,3165.91
2,2912.2134
3,2799.7932
4,2786.9966
5,2477.0535
6,2314.73
7,2148.96
8,2416.8833
9,2512.1433
10,2529.23
11,2891.02
12,2870.9634
13,2887.3533
14,2946.6067
15,3073.2166
16,3207.27
17,2918.0798
18,2688.95
19,2817.1
20,2889.59
21,2846.4333
22,2870.01
23,2721.4368
0,2771.45
1,2866.3433
2,3057.45
3,3023.24
4,2996.2166
5,2728.4402
6,2724.2966
7,2719.4202
8,2693.9
9,2711.7932
10,2724.6265
11,2504.48
12,2294.307
13,2311.2466
14,2332.1467
15,2783.0735
16,2637.5432
17,2463.7432
18,2358.95
19,2557.9033
20,2562.34
21,2615.6167
22,2662.1099
23,2672.8167
0,2591.5266
1,2534.73
2,2503.1965
3,2490.5466
4,2393.7466
5,2452.4868
6,2467.557
7,2473.9734
8,2467.0798
9,2477.7866
10,2162.27
11,2276.8533
12,2337.9402
13,2292.3267
14,2429.6433
15,2416.26
16,2371.1235
17,2991.01
18,2947.6333
19,2575.21
20,2489.7034
21,2533.0432
22,2822.05
23,2748.68
0,2543.0166
1,2488.7134
2,2487.76
3,2484.057
4,2493.37
5,2479.18
6,2480.28
7,2487.1733
8,2486.6965
9,2482.443
10,2432.0266
11,2416.8098
12,2417.5068
13,2417.8
14,2415.1235
15,2416.04
16,2413.2534
17,2413.29
18,2410.7966
19,2409.6235
20,2411.8599
21,2194.3167
22,2104.3
23,2154.0566
0,2288.99
1,2303.3267
2,2309.0466
3,2287.4133
4,2316.9666
5,2308.4233
6,2314.1433
7,2316.7834
8,2306.7368
9,2323.7134
10,2216.2068
11,2309.1567
12,2295.9568
13,2279.4568
14,2276.45
15,2299.0735
16,2451.35
17,2306.15
18,2485.34
19,2411.9333
20,2396.02
21,2368.2632
22,2336.8035
23,2342.3035
0,2439.2134
1,2628.8901
2,2637.9834
3,2648.1033
4,2534.3633
5,2517.2766
6,2391.51
7,2514.27
8,2383.443
9,2240.7734
10,2145.4033
11,2121.02
12,2145.4033
13,2208.6533
14,2051.2065
15,1877.7
16,2135.2468
17,2099.6433
18,2061.29
19,2090.3298
20,2070.1267
21,2041.38
22,2041.6367
23,2039.73
0,2036.3201
1,2036.8334
2,2038.41
3,2042.48
4,2040.3167
5,2040.83
6,2047.98
7,2001.34
8,2008.7833
9,3053.4167
10,3058.1099
11,3116.2632
12,3215.6667
13,3342.2766
14,3197.6267
15,3331.7534
16,3307.4067
17,3312.7966
18,3242.9465
19,3087.5535
20,3105.8132
21,3222.9265
22,3305.3533
23,3081.4666
0,3280.8599
1,3201.6235
2,3060.8967
3,3055.1033
4,3054.8833
5,3064.6
6,3090.1567
7,3106.1433
8,3122.57
9,3123.23
10,3103.3567
11,3100.68
12,3082.4202
13,3100.79
14,3119.6733
15,3086.7466
16,3130.6733
17,3358.2266
18,3366.4402
19,3363.6167
20,3352.7266
21,3328.8933
22,3367.6133
23,3367.21
0,3360.7568
1,3326.3633
2,3261.28
3,3274.7
4,3266.8901
5,3272.3167
6,3267.9534
7,3264.7266
8,3265.7534
9,3266.7432
10,3268.9067
11,3265.79
12,3290.76
13,3304.5466
14,2706.99
15,2129.93
16,2027.8132
17,2043.14
18,2079.0
19,2174.26
20,2139.5732
21,2195.3433
22,2217.9666
23,2759.35
0,2698.8867
1,2738.3765
2,2745.0867
3,2743.07
4,2731.4465
5,2724.0767
6,2729.65
7,2588.85
8,2575.2834
9,2500.52
10,2389.9333
11,2382.7834
12,2384.5798
13,2074.3433
14,2177.9268
15,2302.96
16,2250.4534
17,2155.3035
18,2151.6733
19,2118.6367
20,2101.0
21,2101.66
22,2009.7367
23,1787.7201
0,1792.67
1,1795.5667
2,1785.74
3,1775.8767
4,1776.17
5,1746.3234
6,1745.5167
7,1746.7633
8,1748.34
9,1753.4
10,1749.5133
11,1803.3767
12,1828.1633
13,2065.0667
14,2068.0
15,2066.8267
16,2060.41
17,2069.6868
18,1994.2633
19,1808.2899
20,1771.1833
21,1779.5801
22,1804.0
23,1810.4166
0,1921.92
1,1932.8466
2,1916.3833
3,1927.0533
4,1906.3367
5,1938.2
6,1918.5466
7,1988.0667
8,1865.16
9,1776.7933
10,1780.2034
11,1808.2167
12,1796.4833
13,2063.38
14,2022.7167
15,2151.6
16,2063.4534
17,2625.8098
18,3564.4402
19,2298.9265
20,2151.82
21,1964.9299
22,2100.5232
23,2286.0933
0,2239.7466
1,2280.0798
2,2389.53
3,2585.0735
4,2178.9534
5,2217.307
6,2263.5068
7,2475.4766
8,2660.24
9,2379.41
10,2393.49
11,2510.8967
12,2552.1467
13,2558.1965
14,2339.4436
15,2623.5366
16,2577.1167
17,2923.2134
18,2932.05
19,2767.9666
20,2843.5366
21,2747.1033
22,2715.9
23,2745.4534
0,2839.3567
1,2811.8567
2,2869.2034
3,2839.9067
4,2778.4534
5,1878.2133
6,1660.3033
7,1658.25
8,1657.6267
9,1657.8833
10,1658.7633
11,1734.6633
12,1854.9667
13,1851.4467
14,1852.73
15,1851.0066
16,1852.2899
17,1850.3833
18,1850.5667
19,1851.0066
20,1852.73
21,1852.95
22,1852.4733
23,1850.2733
0,1848.88
1,1845.9833
2,1848.2201
3,1855.0767
4,1851.3733
5,1852.73
6,1853.39
7,1846.02
8,1848.2566
9,1847.2667
10,1849.5767
11,1846.5701
12,1845.25
13,1846.5701
14,1843.1233
15,1850.75
16,1847.3032
17,1848.2201
18,1847.0466
19,1850.2733
20,1854.0133
21,1852.9133
22,1855.3334
23,1853.5367
0,1850.7867
1,1849.65
2,1850.86
3,1857.13
4,1861.09
5,1859.7333
6,1855.6633
7,1858.1934
8,1855.2233
9,1861.3466
10,1863.4368
11,1861.6766
12,1862.6666
13,1857.0934
14,1859.6233
15,1865.5632
16,1861.42
17,1858.34
18,1857.8267
19,1850.9333
20,1854.6733
21,1862.4833
22,1869.6333
23,1866.4066
0,1866.5533
1,1857.7899
2,1858.23
3,1865.1967
4,1856.69
5,1862.63
6,1864.9767
7,1862.8132
8,1863.95
9,1866.9934
10,1867.1766
11,1860.1
12,1862.0433
13,1861.3833
14,1848.44
15,1852.2534
16,1854.1233
17,1849.7966
18,1839.4934
19,1855.2233
20,1854.0133
21,1855.1133
22,1852.6934
23,1856.9468
0,1820.6833
1,1684.1733
2,1660.89
3,1661.5134
4,1661.4034
5,1661.2933
6,1660.34
7,1659.9368
8,1660.3767
9,1659.4601
10,1659.0934
11,1659.2767
12,1659.13
13,1715.5966
14,1855.9934
15,1867.7633
16,1870.6967
17,1871.9066
18,1870.44
19,1873.6666
20,1874.9133
21,1870.5867
22,1868.9368
23,1873.08
0,1874.6566
1,1868.4966
2,1871.9434
3,1872.31
4,1866.81
5,1872.86
6,1871.98
7,1870.0734
8,1864.94
9,1870.4767
10,1871.6868
11,1872.75
12,1869.1934
13,1867.4333
14,1863.51
15,1862.2267
16,1862.7032
17,1862.41
18,1864.17
19,1862.5934
20,1863.2899
21,1865.3801
22,1864.7201
23,1864.5734
0,1864.2799
1,1861.0533
2,1861.2367
3,1862.41
4,1863.4368
5,1859.55
6,1856.2867
7,1857.3867
8,1856.3234
9,1857.4966
10,1860.8334
11,1856.0299
12,1860.65
13,1854.7833
14,1861.09
15,1846.2767
16,1824.9
17,1824.9
18,1824.9
19,1824.9
20,1824.9
21,1824.9
22,1824.9
23,1824.9
0,1824.9
1,1824.9
2,1824.9
3,1824.9
4,1824.9
5,1824.9
6,1824.9
7,1824.9
8,1826.0
9,1836.1566
10,1835.4233
11,1838.1733
12,1833.2966
13,1837.6967
14,1837.6967
15,1839.4934
16,1839.1267
17,1837.0734
18,1834.1034
19,1840.7034
20,1838.5034
21,1832.8933
22,1833.26
23,1831.5
0,1829.74
1,1830.3267
2,1831.4633
3,1834.0299
4,1832.7101
5,1708.8132
6,1654.3267
7,1660.34
8,3296.4067
9,3393.9766
10,3408.79
11,3419.2766
12,3407.8
13,3401.0535
14,3406.1868
15,3396.5068
16,3369.52
17,3389.4666
18,3387.34
19,3392.51
20,3390.6401
21,3385.3235
22,3385.6167
23,3377.5867
0,3390.97
1,3393.4265
2,3390.2368
3,3399.3667
4,3407.8
5,3410.3298
6,3411.21
7,3406.9568
8,3386.6067
9,3387.5234
10,3395.5535
11,3378.7234
12,3402.2632
13,3402.557
14,3406.8467
15,3394.1235
16,3373.0034
17,3369.52
18,3376.5234
19,3396.2866
20,3390.7134
21,3392.4734
22,3387.6333
23,3632.4568
0,2711.7568
1,2784.65
2,2792.57
3,2784.76
4,2796.2368
5,2785.4568
6,2768.9202
7,2757.9932
8,2793.0833
9,2769.3967
10,2787.4
11,2797.63
12,2799.5735
13,2841.74
14,2865.4265
15,2967.3235
16,2384.3599
17,2142.3232
18,2161.4268
19,2217.38
20,2219.6167
21,2139.1333
22,2125.6033
23,2649.3867
0,2268.8967
1,2150.7932
2,2146.2466
3,2142.4333
4,2062.6833
5,2035.4034
6,1980.0
7,1989.02
8,1981.6868
9,1983.85
10,1971.31
11,1983.63
12,2046.8066
13,2258.85
14,2240.7734
15,2362.3967
16,2416.3333
17,2392.2068
18,2387.6235
19,2401.3735
20,2414.4265
21,2309.7432
22,2320.3765
23,2166.4133
0,2067.5967
1,2066.35
2,2023.56
3,2035.33
4,2017.2899
5,2013.1466
6,2012.1934
7,2016.2633
8,2007.4633
9,1993.2
10,2014.7233
11,2021.2133
12,2018.3534
13,2015.9701
14,2012.67
15,2018.5
16,2040.9767
17,2060.8132
18,2607.5867
19,2585.7334
20,2593.2866
21,2712.8567
22,3271.0334
23,3279.0266
0,3026.6133
1,2776.9133
2,2676.4465
3,2636.443
4,2613.71
5,2608.54
6,2603.6265
7,2597.3567
8,2601.5
9,2610.1533
10,2586.2834
11,2689.6833
12,2934.47
13,2725.7266
14,2668.8567
