Hour,Load_Profile
0,2859.8167
1,2875.5466
2,3182.8132
3,3258.0166
4,3218.0867
5,3189.8533
6,3276.2034
7,2982.5034
8,2983.53
9,2972.7866
10,3030.9033
11,3051.9133
12,3058.0732
13,3033.6533
14,3100.7534
15,3055.1033
16,3046.8901
17,3077.14
18,3017.52
19,3055.7266
20,3000.3967
21,3042.7834
22,3060.7866
23,3022.1033
0,3010.9568
1,3112.0466
2,3047.88
3,2962.2266
4,3020.16
5,3029.3267
6,3082.4568
7,3026.1
8,2927.0266
9,3057.8533
10,3008.3533
11,2905.65
12,3120.8833
13,3123.9634
14,3068.7432
15,3115.7134
16,3049.9333
17,3113.1099
18,3109.48
19,3034.8633
20,3084.95
21,3096.0234
22,3034.13
23,3029.1433
0,3092.2834
1,3060.2
2,3020.8567
3,3040.84
4,3029.1433
5,3023.68
6,3076.7
7,3092.3567
8,3066.91
9,3042.6
10,3116.41
11,3032.5166
12,3035.7432
13,2738.8901
14,2492.6733
15,2463.01
16,2472.47
17,2482.7368
18,2714.7632
19,2752.0535
20,2739.1099
21,2601.5366
22,2567.5103
23,2575.7234
0,2665.7766
1,2443.3933
2,2271.8667
3,2423.9233
4,2481.6733
5,2491.9033
6,2479.95
7,2496.3035
8,2399.43
9,2388.1
10,2427.2234
11,2440.2766
12,2428.2866
13,3088.91
14,3348.0334
15,3342.4966
16,3337.29
17,3356.1367
18,3360.2068
19,3343.193
20,3429.1033
21,3346.4568
22,3353.6436
23,3341.6167
0,3338.2068
1,3334.8333
2,3335.97
3,3348.1067
4,3349.0967
5,3344.0
6,3345.43
7,3333.2932
8,3338.1333
9,3348.4
10,3347.9966
11,3342.3867
12,3346.97
13,3345.1367
14,3351.37
15,3351.1133
16,3334.0632
17,3346.09
18,4050.7866
19,4075.3167
20,4056.8
21,4048.3667
22,4063.84
23,4054.1965
0,4012.7632
1,4107.987
2,4209.8467
3,4207.5366
4,4212.927
5,4204.31
6,4205.3
7,4213.44
8,4207.9033
9,4213.0366
10,4225.65
11,4201.3403
12,4211.533
13,4208.27
14,4208.8564
15,4199.1035
16,4198.5903
17,4199.837
18,4200.8633
19,4196.757
20,4211.02
21,4200.9365
22,4325.1265
23,4360.5464
0,4366.1934
1,4362.4165
2,4303.0166
3,4316.73
4,4358.933
5,4350.9033
6,4367.513
7,4357.8335
8,4360.3267
9,4356.697
10,4356.183
11,4356.4033
12,4240.317
13,4142.5635
14,4201.7065
15,4209.81
16,4181.9434
17,3961.943
18,3931.2534
19,3911.307
20,3901.7
21,3837.0933
22,3935.47
23,4354.533
0,3920.4368
1,3889.7466
2,3982.1467
3,4310.4966
4,4288.7534
5,4301.4033
6,4305.5464
7,4296.197
8,4349.913
9,2594.5334
10,2695.22
11,3006.7766
12,2698.3735
13,2858.0933
14,2954.3433
15,2950.6401
16,3152.05
17,3156.01
18,3123.9265
19,3017.63
20,2910.8933
21,2914.5967
22,2664.7134
23,2302.74
0,2390.5933
1,2485.8901
2,2465.0266
3,2412.2632
4,2404.6367
5,2402.2534
6,2119.26
7,2056.56
8,2144.7065
9,2776.5833
10,2780.3599
11,2753.5933
12,2219.6167
13,2160.29
14,2265.6702
15,2451.02
16,2582.2134
17,2720.1533
18,2700.5366
19,2727.193
20,2713.0767
21,3001.68
22,2971.1367
23,3262.0132
0,3459.8298
1,3443.6965
2,3459.1702
3,3455.5767
4,3535.5833
5,3346.4202
6,3390.7134
7,3127.96
8,2783.88
9,2895.2368
10,3288.3035
11,2490.29
12,2304.2432
13,2153.5435
14,2182.5833
15,2190.1733
16,2358.4734
17,2311.8333
18,2443.8333
19,2664.6033
20,2743.84
21,2435.2166
22,2450.03
23,2596.1833
0,2615.1401
1,2396.0933
2,2274.9834
3,2233.1099
4,2236.8867
5,2245.3933
6,2236.9602
7,2230.2866
8,2234.0632
9,2508.4033
10,2671.4233
11,2639.23
12,3121.1401
13,2949.7234
14,2420.3298
15,2357.96
16,2263.5068
17,2297.68
18,2286.1667
19,2291.8867
20,2239.307
21,2154.46
22,1963.7201
23,1996.61
0,2205.3167
1,2389.6033
2,2357.4834
3,2337.8667
4,2310.55
5,2307.1033
6,2366.21
7,2192.8132
8,2161.9768
9,2131.5798
10,2093.8867
11,2022.5701
12,2279.7866
13,2310.11
14,2087.69
15,1939.5566
16,1972.4467
17,1963.2799
18,1985.7201
19,1986.7833
20,2036.1
21,2032.3234
22,2240.7734
23,2321.3667
0,2322.4666
1,2310.2568
2,2323.53
3,2331.0833
4,2321.4033
5,2184.1965
6,2223.3933
7,2082.1167
8,1965.59
9,1836.3767
10,1777.49
11,1732.5734
12,1714.9733
13,1717.5399
14,2063.7466
15,2407.57
16,2397.6702
17,2398.0
18,2403.8667
19,2388.1733
20,2400.2368
21,2409.8433
22,2356.3833
23,2107.93
0,2437.5266
1,1972.3367
2,1816.8334
3,1812.2133
4,1798.06
5,2337.5
6,2171.5466
7,1784.9701
8,1663.6766
9,1671.56
10,1774.0066
11,2190.2834
12,2573.8901
13,2961.8235
14,2899.6733
15,2972.3098
16,2626.03
17,2472.1401
18,2354.22
19,2528.57
20,2414.3901
21,2653.3833
22,2998.307
23,3116.0432
0,3053.7466
1,3063.3533
2,3071.5667
3,2673.807
4,2390.7034
5,2441.4868
6,2346.1902
7,1856.5066
8,1813.6433
9,1769.9368
10,1924.5233
11,3359.4
12,3448.1702
13,2982.5034
14,2730.5667
15,2353.9265
16,2576.4932
17,2363.13
18,2194.0967
19,1842.7933
20,1944.58
21,2031.0767
22,2177.56
23,2090.9534
0,2176.6067
1,2183.3533
2,1818.1534
3,1640.65
4,1640.2833
5,1640.1367
6,1639.8434
7,1640.5399
8,1639.11
9,1638.4133
10,1638.0834
11,2819.9966
12,2525.4534
13,2304.0967
14,2390.2632
15,2522.41
