Hour,Load_Profile
0,2946.5334
1,3085.4634
2,3104.9333
3,3029.62
4,3042.5266
5,3026.54
6,3038.09
7,3043.15
8,2993.6133
9,3005.09
10,3134.9265
11,3198.1401
12,3077.3967
13,3034.35
14,3074.8667
15,3106.5466
16,3083.3
17,3092.0266
18,3056.057
19,2987.6
20,2934.1033
21,2972.1265
22,2930.84
23,2993.32
0,3070.6133
1,3068.12
2,3144.79
3,3114.76
4,3108.5632
5,3134.193
6,3091.4033
7,3165.0667
8,3059.8333
9,3015.5767
10,2991.23
11,3315.1433
12,3362.6633
13,3252.8467
14,3469.7666
15,3231.2866
16,3210.8267
17,3289.0
18,3300.77
19,3265.2766
20,3157.1099
21,3190.22
22,3236.3467
23,3213.21
0,3372.8567
1,3415.3901
2,3416.0132
3,3290.2834
4,3315.2166
5,3336.0068
6,3328.3433
7,3329.6265
8,3305.7568
9,3283.0967
10,3279.76
11,3307.0034
12,3260.73
13,3534.7766
14,3628.68
15,3521.3933
16,3524.4368
17,3978.1133
18,4004.5867
19,4107.07
20,4115.5034
21,4107.18
22,4114.257
23,4117.63
0,3306.38
1,2862.09
2,2865.9033
3,2859.0466
4,2596.0
5,2196.0767
6,2189.6235
7,2187.9734
8,2176.02
9,1882.4299
10,1765.5367
11,1749.88
12,1727.8801
13,1708.52
14,1737.0466
15,1746.25
16,1764.2167
17,2198.3132
18,3236.8235
19,3771.4966
20,3782.7534
21,3801.0867
22,3801.4534
23,3803.1033
0,3801.71
1,3808.4202
2,3808.4932
3,3815.3867
4,3814.7266
5,3799.327
6,3800.5366
7,3786.0535
8,3800.3901
9,3804.8633
10,3780.9568
11,3806.9534
12,3803.8
13,3809.8867
14,3797.4568
15,3794.3398
16,3779.6367
17,3681.59
18,2803.9734
19,2857.6533
20,3595.79
21,3527.8467
22,3348.5466
23,3573.9
0,4140.3267
1,4268.1465
2,4100.58
3,3526.2334
4,3515.16
5,3216.3633
6,3219.0034
7,3219.1133
8,3219.9202
9,3274.1133
10,3641.55
11,3220.8733
12,3410.3667
13,4090.79
14,3994.2834
15,4105.64
16,3971.88
17,3940.2
18,3918.3833
19,3943.3167
20,3925.68
21,3687.7866
22,3512.4834
23,3535.84
0,3522.3467
1,3568.07
2,3560.7
3,3563.5598
4,3578.74
5,3482.3433
6,2932.16
7,3220.7266
8,3219.7734
9,3229.0132
10,3317.93
11,3319.91
12,3323.5767
13,3335.4568
14,3253.8
15,3252.8833
16,3249.07
17,3259.6667
18,3257.7234
19,3258.6401
20,3260.5833
21,3269.1633
22,3517.2134
23,3530.3035
0,3547.72
1,3534.0432
2,3524.51
3,3523.96
4,3526.82
5,3523.8867
6,3522.1633
7,3579.07
8,3846.7734
9,3843.29
10,3841.2734
