scenario,DHN_hex_heat,Q_DHW_demand,Q_SH_demand,Q_DHW_by_DHN,Q_SH_by_DHN,Q_DC_ORC_demand,Q_TES_intraday_demand,Q_TES_intraday_supply,Q_DC_HP_supply,Q_main_HP_supply,Heat_DC_supply,Heat_direct_supply,E_building_demand,E_HP_demand,E_DC_HP_demand,E_DC_demand,E_battery_demand,E_battery_supply,E_pv_supply,E_pv_supply_intern,E_network_demand,E_PV_district_supply,E_ORC_supply,E_network_supply_total,data_import,data_inhouse,E_network_supply,E_electricalHeater_demand,Q_electricalHeater_supply_SH,Q_electricalHeater_supply_Heat,Q_electricalHeater_supply_DHW,E_heatpumps_SH_demand,Q_heatpumps_SH_supply,Q_heatpumps_Heat_supply,Q_heatpumps_DHW_supply,E_elec_consumption,E_elec_consumption_minus_export
ORC_grid_connected_PV_district_non_shifting,30938.1304099169,851.1341038785199,31921.926522289108,813.85528545636,25483.55556297298,5366.867805941999,0,0,0,23394.22347494554,17176.80417172446,11809.936365782462,986.24420829009,12602.005762352828,0,17892.504345546316,19431.353078561107,15712.31977428894,19827.80621659585,11253.721647438728,8574.084569157123,6632.223677797732,483.01810253477805,,189.66255755902793,23260.25564921021,25054.721030381264,1470.21083924712,1440.8066224621598,0.0,0.0,986.24420829009,4997.56433685392,0.0,37.27881842216,67707.36418352238,59133.27961436526
ORC_HP_grid_connected_PV_district_non_shifting, 30938.1304099169,851.1341038785199,31921.926522289108,813.85528545636,25483.55556297298,17164.26987213985,0,0,18661.73156885723,16542.428271890632,17164.269872139852,3.637978807091713e-12,986.24420829009,8911.07912297665,7632.610048579082,17879.447783478998,19751.554194696393,15971.464048274063,19827.80621659585,11632.79305669149,8195.013159904362,6629.624562921522,1544.7842885179696,,206.63608824652616,23243.28211852271,27606.166239364913,1470.21083924712,1440.8066224621598,0.0,0.0,986.24420829009,4997.56433685392,0.0,37.27881842216,71577.12073754048,63382.10757763612
ORC_grid_connected_PV_district_shifted, 26620.63297323462,906.21663665159,32077.32926024831,810.30313781004,21817.23488943936,5243.53460437368,0,0,0,23421.466635104043,15762.983394638642,10519.448790264963,2092.51709603271,12616.681114226329,0,16419.774369415252,12555.693723788818,10155.260682029691,21246.92085756544,14876.849361810722,6370.071495754719,8819.48330999528,471.91811439363124,,1955.2755547764193,21345.706680239833,18073.420072927234,1340.85571394559,1314.03859966669,0.0,0.0,2092.51709603271,8946.66678137998,0.0,95.91349884153001,58764.40839307259,52394.33689731787
ORC_HP_grid_connected_PV_district_shifted, 25709.81433153009,906.2050484214,31922.03791824135,807.2351649210799,21046.10701687947,15781.386852869931,0,0,15990.351156972529,17548.62423192647,15781.386852869931,0.0,2227.95286415131,9453.096997596183,6540.020923097157,16438.944638406185,12602.708065380872,10192.88684760254,21262.50615943866,15127.825022895147,6134.681136543512,8844.872253372507,1420.3248167582947,,1930.354205088213,21370.628029928044,20389.095021637328,1340.85571394559,1314.03859966669,0.0,0.0,2227.95286415131,9562.50331193291,0.0,98.96988350029001,62107.07521902998,55972.39408248647
