scenario,DHN_hex_heat,Q_DHW_demand,Q_SH_demand,Q_DHW_by_DHN,Q_SH_by_DHN,Q_DC_ORC_demand,Q_TES_intraday_demand,Q_TES_intraday_supply,Q_DC_HP_supply,Q_main_HP_supply,Heat_DC_supply,Heat_direct_supply,E_building_demand,E_HP_demand,E_DC_HP_demand,E_DC_demand,E_battery_demand,E_battery_supply,E_pv_supply,E_pv_supply_intern,E_network_demand,E_PV_district_supply,E_ORC_supply,E_network_supply_total,data_import,data_inhouse,E_network_supply,E_electricalHeater_demand,Q_electricalHeater_supply_SH,Q_electricalHeater_supply_Heat,Q_electricalHeater_supply_DHW,E_heatpumps_SH_demand,Q_heatpumps_SH_supply,Q_heatpumps_Heat_demand,Q_heatpumps_DHW_supply,E_elec_consumption,E_elec_consumption_minus_export,Local_generation_and_storag,Local_generation_and_storag_to_elec_consumption,E_elec_consumption_without_battery
ORC_grid_connected_PV_district_non_shifting,30938.1304099169,851.1341038785199,31921.926522289108,813.85528545636,25483.55556297298,5366.867805941999,0,0,0,23394.22347494554,17176.80417172446,11809.936365782462,6750.961380367796,12602.005762352828,0,17892.504345546316,19431.353078561107,15712.31977428894,19827.80621659585,11253.721647438728,8574.084569157123,6632.223677797732,483.01810253477805,,189.66255755902793,23260.25564921021,25054.721030381264,1470.21083924712,1440.8066224621598,0.0,0.0,986.24420829009,4997.56433685392,4261.68310209053,37.27881842216,67707.36418352238,59133.27961436526,42655.3677712173,23224.014692656194,48276.011104961275
ORC_HP_grid_connected_PV_district_non_shifting,30938.1304099169,851.1341038785199,31921.926522289108,813.85528545636,25483.55556297298,17164.26987213985,0,0,18661.73156885723,16542.428271890632,17164.269872139852,3.637978807091713e-12,6750.961380367796,8911.07912297665,7632.610048579082,17879.447783478998,19751.554194696393,15971.464048274063,19827.80621659585,11632.79305669149,8195.013159904362,6629.624562921522,1544.7842885179696,,206.63608824652616,23243.28211852271,27606.166239364913,1470.21083924712,1440.8066224621598,0.0,0.0,986.24420829009,4997.56433685392,4261.68310209053,37.27881842216,71577.12073754048,63382.10757763612,43973.67911630941,24222.124921613016,51825.566542844084
ORC_grid_connected_PV_district_shifted,26085.93700236697,906.24499653198,31191.90787535071,777.83239095393,21395.21406105798,3633.375418813981,0,0,0,24713.701904064717,12546.324747002258,8912.949328188277,7368.814879909175,13312.78271055409,0,13069.08827812735,10921.284505161471,8833.471046836548,19804.061874758852,13913.062020494832,5890.9998542640205,5386.41530420045,327.00378769325977,,6311.167473450694,16989.81476156555,18996.435900602348,778.49978629613,762.9297905702399,0.0,0.0,2003.50150501762,9034.375033960241,7536.09066791647,128.41260557804998,53344.97151932985,47453.97166506582,34350.952013489106,23429.66750832764,42423.687014168376
ORC_HP_grid_connected_PV_district_shifted,26085.93700236697,906.24499653198,31191.90787535071,777.83239095393,21395.21406105798,12563.126151428092,0,0,14173.222705676117,19453.42852657689,12563.126151428094,1.8189894035458565e-12,7368.814879909175,10479.177419673324,5796.8191025260285,13086.589741070944,10336.441892635881,8360.34817912409,19804.061874758852,14212.218024240625,5591.843850518227,5409.833402949196,1130.6813536285279,,6288.415571624033,17012.56666339221,20739.179761947944,778.49978629613,762.9297905702399,0.0,0.0,2003.50150501762,9034.375033960241,7536.09066791647,128.41260557804998,55441.688177647324,49849.844327129096,34704.92481046067,24368.482917824782,45105.24628501144
