Heat_from_DHN,DHN_hex_heat,Q_DHW_demand,Q_SH_demand,Q_DHW_by_DHN,Q_SH_by_DHN,Q_DC_ORC_demand,Q_DC_HP_supply,Q_main_HP_supply,Heat_DC_supply,Heat_direct_supply,E_building_demand,E_HP_demand,E_DC_HP_demand,E_DC_demand,elec_to_DC_demand,PV_to_DC,E_battery_demand,E_battery_supply,E_pv_supply,E_PV_district_supply,E_ORC_supply,E_network_supply,E_network_demand,E_electricalHeater_demand,Q_electricalHeater_supply_SH,Q_electricalHeater_supply_Heat,Q_electricalHeater_supply_DHW,E_heatpumps_SH_demand,Q_heatpumps_SH_supply,Q_heatpumps_Heat_demand,Q_heatpumps_DHW_supply,E_elec_consumption_minus_export_and_DC,PV_generation_total,PV_generation_to_elec_consumption,E_elec_consumption_minus_export
35204.159840727996,30938.1304099169,851.1341038785199,31921.926522289108,813.85528545636,25483.55556297298,5366.867805941999,0,23394.22347494554,17176.80417172446,11809.936365782462,6750.961380367796,12602.005762352828,0,17892.504345546316,,,19431.353078561107,15712.31977428894,19827.80621659585,6632.223677797732,483.01810253477805,25054.721030381264,8574.084569157123,1470.21083924712,1440.8066224621598,0,0.0,986.24420829009,4997.56433685392,4261.68310209053,37.27881842216,,26460.029894393585,17885.945325236462,59133.27961436526
35204.15984074786,30938.1304099169,851.1341038785199,31921.926522289108,813.85528545636,25483.55556297298,17164.26987213985,18661.73156885723,16542.428271890632,17164.269872139852,3.637978807091713e-12,6750.961380367796,8911.07912297665,7632.610048579082,17879.447783478998,,,19751.554194696393,15971.464048274063,19827.80621659585,6629.624562921522,1544.7842885179696,27606.166239364913,8195.013159904362,1470.21083924712,1440.8066224621598,0,0.0,986.24420829009,4997.56433685392,4261.68310209053,37.27881842216,,26457.430779517374,18262.417619613014,63382.10757763612
33940.91542536901,26620.63297323462,906.21663665159,32077.32926024831,810.30313781004,21817.23488943936,5243.53460437368,0,23421.466635104043,15762.983394638642,10519.448790264963,7368.814879909175,12616.681114226329,0,16419.774369415252,,,12555.693723788818,10155.260682029691,21246.92085756544,8819.48330999528,471.91811439363124,18073.420072927234,6370.071495754719,1340.85571394559,1314.03859966669,0,0.0,2092.51709603271,8946.66678137998,7315.85598335665,95.91349884153001,,30066.404167560722,23696.332671806005,52394.33689731787
33538.975388899,25709.81433153009,906.2050484214,31922.03791824135,807.2351649210799,21046.10701687947,15781.386852869931,15990.351156972529,17548.62423192647,15781.386852869931,0.0,7368.814879909175,9453.096997596183,6540.020923097157,16438.944638406185,,,12602.708065380872,10192.88684760254,21262.50615943866,8844.872253372507,1420.3248167582947,20389.095021637328,6134.681136543512,1340.85571394559,1314.03859966669,0,0.0,2227.95286415131,9562.50331193291,7824.75824345464,98.96988350029001,,30107.378412811166,23972.697276267652,55972.39408248647
