,,,GWP_supply
Electricity,10,15,0.5429999999999999
Electricity,10,16,0.48
Electricity,10,17,0.47
Electricity,10,18,0.498
Electricity,10,19,0.619
Electricity,10,20,0.634
Electricity,10,21,0.6
Electricity,10,22,0.556
Electricity,10,23,0.599
Electricity,10,24,0.481
Electricity,11,1,0.397
Electricity,12,1,0.52
