ResourceBalances,Period,Time,GWP_supply
Electricity,7,23,0.0321298346025
Electricity,7,24,0.0406668484325
Electricity,8,1,0.0442854442175
Electricity,8,2,0.045378606572499994
Electricity,8,3,0.042698456522500004
Electricity,8,4,0.032749223395
Electricity,8,5,0.02221197107
Electricity,8,6,0.023960000000000002
Electricity,8,7,0.02477
Electricity,8,8,0.025670000000000002
Electricity,8,9,0.0473810618025
Electricity,8,10,0.10482798440499999
Electricity,8,11,0.11397197455
Electricity,8,12,0.121749129175
Electricity,8,13,0.110460971975
Electricity,8,14,0.0817679480525
Electricity,8,15,0.04085230754
Electricity,8,16,0.0290956770675
Electricity,8,17,0.0270587881025
Electricity,8,18,0.02461
Electricity,8,19,0.02469
Electricity,8,20,0.0242135477475
Electricity,8,21,0.024866955195
Electricity,8,22,0.0406125189825
Electricity,8,23,0.0325184085375
Electricity,8,24,0.036771797845
Electricity,9,1,0.13116874525
Electricity,9,2,0.11581605195
Electricity,9,3,0.110414782525
Electricity,9,4,0.08536680817
Electricity,9,5,0.026087118407500002
Electricity,9,6,0.0270195717125
Electricity,9,7,0.028048795095
Electricity,9,8,0.02916972922
Electricity,9,9,0.07832630405749999
Electricity,9,10,0.0675320067325
Electricity,9,11,0.0589775275875
Electricity,9,12,0.08723055493749998
Electricity,9,13,0.07505910955
Electricity,9,14,0.084727299415
Electricity,9,15,0.076986942545
Electricity,9,16,0.0779917122975
Electricity,9,17,0.06561083883499999
Electricity,9,18,0.03975523902749999
Electricity,9,19,0.03935322156
Electricity,9,20,0.0739092378425
Electricity,9,21,0.0833496052525
Electricity,9,22,0.089382511385
Electricity,9,23,0.0901475143825
Electricity,9,24,0.08064814601
Electricity,10,1,0.0408562874675
Electricity,10,2,0.0385107027125
Electricity,10,3,0.0357971502175
Electricity,10,4,0.0322301298975
Electricity,10,5,0.0233349694175
Electricity,10,6,0.02213161269
Electricity,10,7,0.02512
Electricity,10,8,0.0313900789625
Electricity,10,9,0.06377825241000001
Electricity,10,10,0.080331338635
Electricity,10,11,0.0841825409325
Electricity,10,12,0.072837875515
Electricity,10,13,0.0700218440175
Electricity,10,14,0.06916302518749999
Electricity,10,15,0.0545496998525
Electricity,10,16,0.0336203811175
Electricity,10,17,0.024354824485000003
Electricity,10,18,0.02218
Electricity,10,19,0.0212476717525
Electricity,10,20,0.027795796164999997
Electricity,10,21,0.0288062325625
Electricity,10,22,0.027936655695
Electricity,10,23,0.0289500816375
Electricity,10,24,0.030212689905000003
Electricity,11,1,0.0381617264725
Electricity,11,2,0.043408921545
Electricity,11,3,0.041046826887500006
Electricity,11,4,0.0356685891025
Electricity,11,5,0.02986634893
Electricity,11,6,0.030645895435
Electricity,11,7,0.0311155534125
Electricity,11,8,0.031210884409999997
Electricity,11,9,0.0342129729775
Electricity,11,10,0.0385508462175
Electricity,11,11,0.0433820770425
Electricity,11,12,0.050907844005
Electricity,11,13,0.062995115235
Electricity,11,14,0.07090976093000001
Electricity,11,15,0.07004945681
Electricity,11,16,0.04411552594
Electricity,11,17,0.0364483237825
Electricity,11,18,0.0310693276225
Electricity,11,19,0.02629
Electricity,11,20,0.02588
Electricity,11,21,0.02878396064
Electricity,11,22,0.02755332615
Electricity,11,23,0.0237098926175
Electricity,11,24,0.025209829859999998
Electricity,12,1,0.039494019572500004
Electricity,12,2,0.0451564285725
Electricity,12,3,0.041413970550000005
Electricity,12,4,0.0393825939725
Electricity,12,5,0.040954920365
Electricity,12,6,0.0411515127075
Electricity,12,7,0.041270911075
Electricity,12,8,0.0440257648275
Electricity,12,9,0.046432830225
Electricity,12,10,0.053851723815
Electricity,12,11,0.051071512235
Electricity,12,12,0.0604352347675
Electricity,12,13,0.063711693135
Electricity,12,14,0.06164643584
Electricity,12,15,0.05927589805
Electricity,12,16,0.048603996175
Electricity,12,17,0.0367815457325
Electricity,12,18,0.025041723195
Electricity,12,19,0.02501
Electricity,12,20,0.02506
Electricity,12,21,0.0248
Electricity,12,22,0.022586200182500002
Electricity,12,23,0.02690469109
Electricity,12,24,0.034478255362499995
Electricity,13,1,0.0489713507275
Electricity,13,2,0.03710103804
Electricity,13,3,0.0306774824075
Electricity,13,4,0.03111094284
Electricity,13,5,0.0332119173425
Electricity,13,6,0.035340475745
Electricity,13,7,0.035762243642500004
Electricity,13,8,0.0481527661025
Electricity,13,9,0.0614156096225
Electricity,13,10,0.067969914895
Electricity,13,11,0.06856484724499999
Electricity,13,12,0.0658293335025
Electricity,13,13,0.06349172988
Electricity,13,14,0.04963746931
Electricity,13,15,0.042018647667500006
Electricity,13,16,0.041928133332500006
Electricity,13,17,0.038923962232500005
Electricity,13,18,0.031196605565
Electricity,13,19,0.027596423260000003
Electricity,13,20,0.0345934764425
Electricity,13,21,0.0468422957325
Electricity,13,22,0.047418285855
Electricity,13,23,0.044136792337499994
Electricity,13,24,0.0400268189875
Electricity,14,1,0.026237317237500002
Electricity,14,2,0.026602540770000002
Electricity,14,3,0.026238789135000003
Electricity,14,4,0.026239298502499998
Electricity,14,5,0.028454502677500004
Electricity,14,6,0.0349888952175
Electricity,14,7,0.0473857362925
Electricity,14,8,0.05486066822
Electricity,14,9,0.0764654321875
Electricity,14,10,0.0813037497225
Electricity,14,11,0.07993201766500001
Electricity,14,12,0.08357889384249999
Electricity,14,13,0.07791568599
Electricity,14,14,0.07735451881500001
Electricity,14,15,0.066765912895
Electricity,14,16,0.0437123918
Electricity,14,17,0.031519741822499996
Electricity,14,18,0.032090970079999996
Electricity,14,19,0.0277698978625
Electricity,14,20,0.027604337892499997
Electricity,14,21,0.0302595155775
Electricity,14,22,0.02827490253
Electricity,14,23,0.023667934145
Electricity,14,24,0.025786510024999997
Electricity,15,1,0.0505790305275
Electricity,16,1,0.037262014574999995
