ResourceBalances,Period,Time,GWP_supply
Electricity,1,1,0.053094561005000006
Electricity,1,2,0.05038964358
Electricity,1,3,0.038823719325
Electricity,1,4,0.044278562125000004
Electricity,1,5,0.0502152614925
Electricity,1,6,0.045189433612499996
Electricity,1,7,0.0505200256575
Electricity,1,8,0.06667520498
Electricity,1,9,0.075845245085
Electricity,1,10,0.06060816498
Electricity,1,11,0.052593991555000004
Electricity,1,12,0.057325904525
Electricity,1,13,0.049236425855
Electricity,1,14,0.048636213015000006
Electricity,1,15,0.0462386724175
Electricity,1,16,0.0553336158775
Electricity,1,17,0.0722449640475
Electricity,1,18,0.09007768061999999
Electricity,1,19,0.108279544575
Electricity,1,20,0.0942264023325
Electricity,1,21,0.0910262200775
Electricity,1,22,0.0945412115025
Electricity,1,23,0.09030660221249999
Electricity,1,24,0.07067154268499999
Electricity,2,1,0.105633496475
Electricity,2,2,0.1455370203
Electricity,2,3,0.16401169892499998
Electricity,2,4,0.158125618925
Electricity,2,5,0.16261612105
Electricity,2,6,0.157550948075
Electricity,2,7,0.1480820727
Electricity,2,8,0.110883317025
Electricity,2,9,0.086712347905
Electricity,2,10,0.09846251479750001
Electricity,2,11,0.12028887335
Electricity,2,12,0.11843253305
Electricity,2,13,0.11333398427500001
Electricity,2,14,0.10934340665
Electricity,2,15,0.10051635444750001
Electricity,2,16,0.138067324725
Electricity,2,17,0.132233568725
Electricity,2,18,0.1108156718
Electricity,2,19,0.10238124154
Electricity,2,20,0.0974259774025
Electricity,2,21,0.12763058955
Electricity,2,22,0.11990247044999999
Electricity,2,23,0.16468746665
Electricity,2,24,0.11848907045
Electricity,3,1,0.07795508509
Electricity,3,2,0.07130144102
Electricity,3,3,0.0621867468675
Electricity,3,4,0.0624836644425
Electricity,3,5,0.0643625022275
Electricity,3,6,0.0587825419925
Electricity,3,7,0.06347662864
Electricity,3,8,0.04994729729
Electricity,3,9,0.050748481585
Electricity,3,10,0.06581400277
Electricity,3,11,0.0686833753225
Electricity,3,12,0.0559228625375
Electricity,3,13,0.0462967988325
Electricity,3,14,0.04714781533
Electricity,3,15,0.0434966105425
Electricity,3,16,0.05776626599
Electricity,3,17,0.081107556385
Electricity,3,18,0.064888946405
Electricity,3,19,0.0775588318975
Electricity,3,20,0.08314744905500002
Electricity,3,21,0.06492755711499999
Electricity,3,22,0.0526981940325
Electricity,3,23,0.0526639925025
Electricity,3,24,0.046266428365
Electricity,4,1,0.21134387355
Electricity,4,2,0.21739220220000002
Electricity,4,3,0.223977130975
Electricity,4,4,0.21295655965000002
Electricity,4,5,0.22277186695
Electricity,4,6,0.1529323839
Electricity,4,7,0.119118087575
Electricity,4,8,0.111591039875
Electricity,4,9,0.0885930676875
Electricity,4,10,0.1193254743
Electricity,4,11,0.156310799475
Electricity,4,12,0.16709932965
Electricity,4,13,0.143934929475
Electricity,4,14,0.140385105125
Electricity,4,15,0.15609556087499998
Electricity,4,16,0.1551706742
Electricity,4,17,0.155843425725
Electricity,4,18,0.11706774115
Electricity,4,19,0.09425141712999999
Electricity,4,20,0.10986831265
Electricity,4,21,0.124050606575
Electricity,4,22,0.1310475167
Electricity,4,23,0.13780239375
Electricity,4,24,0.14739641705
Electricity,5,1,0.074260181625
Electricity,5,2,0.06818458795
Electricity,5,3,0.0613962980325
Electricity,5,4,0.06546826291749999
Electricity,5,5,0.0714742964475
Electricity,5,6,0.06754942466500001
Electricity,5,7,0.08447588945750001
Electricity,5,8,0.10413939915
Electricity,5,9,0.0982050696375
Electricity,5,10,0.08681977362250001
Electricity,5,11,0.08290828163250001
Electricity,5,12,0.0828843477375
Electricity,5,13,0.0761597118125
Electricity,5,14,0.0773070900125
Electricity,5,15,0.07021705456249999
Electricity,5,16,0.06873335339499999
Electricity,5,17,0.0465186980875
Electricity,5,18,0.053893993700000004
Electricity,5,19,0.0411359777925
Electricity,5,20,0.074155446565
Electricity,5,21,0.0601343008125
Electricity,5,22,0.06981136389249999
Electricity,5,23,0.06313282236
Electricity,5,24,0.052094141275
Electricity,6,1,0.0442854442175
Electricity,6,2,0.045378606572499994
Electricity,6,3,0.042698456522500004
Electricity,6,4,0.032749223395
Electricity,6,5,0.02221197107
Electricity,6,6,0.023960000000000002
Electricity,6,7,0.02477
Electricity,6,8,0.025670000000000002
Electricity,6,9,0.0473810618025
Electricity,6,10,0.10482798440499999
Electricity,6,11,0.11397197455
Electricity,6,12,0.121749129175
Electricity,6,13,0.110460971975
Electricity,6,14,0.0817679480525
Electricity,6,15,0.04085230754
Electricity,6,16,0.0290956770675
Electricity,6,17,0.0270587881025
Electricity,6,18,0.02461
Electricity,6,19,0.02469
Electricity,6,20,0.0242135477475
Electricity,6,21,0.024866955195
Electricity,6,22,0.0406125189825
Electricity,6,23,0.0325184085375
Electricity,6,24,0.036771797845
Electricity,7,1,0.13806020239999997
Electricity,7,2,0.12267420920000001
Electricity,7,3,0.105332032825
Electricity,7,4,0.096098723715
Electricity,7,5,0.0920991372225
Electricity,7,6,0.0951809969425
Electricity,7,7,0.095657519075
Electricity,7,8,0.09681047442
Electricity,7,9,0.089530497005
Electricity,7,10,0.08246802507249999
Electricity,7,11,0.073304518545
Electricity,7,12,0.05882173698
Electricity,7,13,0.056175467785
Electricity,7,14,0.063211496085
Electricity,7,15,0.056513837647499995
Electricity,7,16,0.043643965122499996
Electricity,7,17,0.0674770415575
Electricity,7,18,0.099919950125
Electricity,7,19,0.11823202860000001
Electricity,7,20,0.1148031633
Electricity,7,21,0.109696344775
Electricity,7,22,0.114224063825
Electricity,7,23,0.1317143455
Electricity,7,24,0.11892982084999999
Electricity,8,1,0.0408562874675
Electricity,8,2,0.0385107027125
Electricity,8,3,0.0357971502175
Electricity,8,4,0.0322301298975
Electricity,8,5,0.0233349694175
Electricity,8,6,0.02213161269
Electricity,8,7,0.02512
Electricity,8,8,0.0313900789625
Electricity,8,9,0.06377825241000001
Electricity,8,10,0.080331338635
Electricity,8,11,0.0841825409325
Electricity,8,12,0.072837875515
Electricity,8,13,0.0700218440175
Electricity,8,14,0.06916302518749999
Electricity,8,15,0.0545496998525
Electricity,8,16,0.0336203811175
Electricity,8,17,0.024354824485000003
Electricity,8,18,0.02218
Electricity,8,19,0.0212476717525
Electricity,8,20,0.027795796164999997
Electricity,8,21,0.0288062325625
Electricity,8,22,0.027936655695
Electricity,8,23,0.0289500816375
Electricity,8,24,0.030212689905000003
Electricity,9,1,0.0381617264725
Electricity,9,2,0.043408921545
Electricity,9,3,0.041046826887500006
Electricity,9,4,0.0356685891025
Electricity,9,5,0.02986634893
Electricity,9,6,0.030645895435
Electricity,9,7,0.0311155534125
Electricity,9,8,0.031210884409999997
Electricity,9,9,0.0342129729775
Electricity,9,10,0.0385508462175
Electricity,9,11,0.0433820770425
Electricity,9,12,0.050907844005
Electricity,9,13,0.062995115235
Electricity,9,14,0.07090976093000001
Electricity,9,15,0.07004945681
Electricity,9,16,0.04411552594
Electricity,9,17,0.0364483237825
Electricity,9,18,0.0310693276225
Electricity,9,19,0.02629
Electricity,9,20,0.02588
Electricity,9,21,0.02878396064
Electricity,9,22,0.02755332615
Electricity,9,23,0.0237098926175
