ResourceBalances,Period,Time,GWP_supply
Electricity,7,21,0.0258633609225
Electricity,7,22,0.04558673781
Electricity,7,23,0.037666584862500005
Electricity,7,24,0.0397980074425
Electricity,8,1,0.037083820265
Electricity,8,2,0.038428527845000005
Electricity,8,3,0.0333396263575
Electricity,8,4,0.0286201448925
Electricity,8,5,0.028392537915
Electricity,8,6,0.025914203337499997
Electricity,8,7,0.0308458380075
Electricity,8,8,0.06236466049250001
Electricity,8,9,0.06543818663999999
Electricity,8,10,0.07185680095
Electricity,8,11,0.08030299246999999
Electricity,8,12,0.076527388005
Electricity,8,13,0.0767320602075
Electricity,8,14,0.0864416084425
Electricity,8,15,0.06570932041500001
Electricity,8,16,0.051062110445
Electricity,8,17,0.032555509295
Electricity,8,18,0.030057851992500002
Electricity,8,19,0.0320795833975
Electricity,8,20,0.0281519209025
Electricity,8,21,0.026120903887499998
Electricity,8,22,0.029525447535000002
Electricity,8,23,0.03339208225
Electricity,8,24,0.039244685175
Electricity,9,1,0.061139695545000004
Electricity,9,2,0.059128723774999996
Electricity,9,3,0.06814672622500001
Electricity,9,4,0.07343695253499999
Electricity,9,5,0.0712474685675
Electricity,9,6,0.07107758212
Electricity,9,7,0.077498734915
Electricity,9,8,0.08332442599
Electricity,9,9,0.0872211277675
Electricity,9,10,0.080423134155
Electricity,9,11,0.068609513885
Electricity,9,12,0.0700000720375
Electricity,9,13,0.0639372323325
Electricity,9,14,0.0667033127225
Electricity,9,15,0.06869826940499998
Electricity,9,16,0.0868978022375
Electricity,9,17,0.0726086731275
Electricity,9,18,0.0273721466125
Electricity,9,19,0.027537982960000002
Electricity,9,20,0.027007616720000002
Electricity,9,21,0.02664759809
Electricity,9,22,0.0279677912675
Electricity,9,23,0.02700717956
Electricity,9,24,0.0295282498
Electricity,10,1,0.0720673013
Electricity,10,2,0.0622201437025
Electricity,10,3,0.044875753535
Electricity,10,4,0.03521378253
Electricity,10,5,0.042097909360000005
Electricity,10,6,0.0408320618525
Electricity,10,7,0.0400705140875
Electricity,10,8,0.036901843552499994
Electricity,10,9,0.035923098502499994
Electricity,10,10,0.04926843559999999
Electricity,10,11,0.07052680003
Electricity,10,12,0.060916017315
Electricity,10,13,0.056103942772500005
Electricity,10,14,0.050876635842500004
Electricity,10,15,0.046667542330000006
Electricity,10,16,0.041324167895
Electricity,10,17,0.037570555157500005
Electricity,10,18,0.0317240079475
Electricity,10,19,0.0286879929975
Electricity,10,20,0.028329999999999998
Electricity,10,21,0.027239999999999997
Electricity,10,22,0.025835969535
Electricity,10,23,0.025213799725
Electricity,10,24,0.0274350917075
Electricity,11,1,0.034393650072500004
Electricity,12,1,0.026525927912499997
