,,,GWP_supply
Electricity,10,18,0.6659999999999999
Electricity,10,19,0.718
Electricity,10,20,0.726
Electricity,10,21,0.713
Electricity,10,22,0.713
Electricity,10,23,0.732
Electricity,10,24,0.69
Electricity,11,1,0.555
Electricity,11,2,0.4589999999999999
Electricity,11,3,0.413
Electricity,11,4,0.397
Electricity,11,5,0.446
Electricity,11,6,0.41
Electricity,11,7,0.389
Electricity,11,8,0.407
Electricity,11,9,0.523
Electricity,11,10,0.52
Electricity,11,11,0.472
Electricity,11,12,0.483
Electricity,11,13,0.539
Electricity,11,14,0.461
Electricity,11,15,0.413
Electricity,11,16,0.3939999999999999
Electricity,11,17,0.376
Electricity,11,18,0.45
Electricity,11,19,0.569
Electricity,11,20,0.6990000000000001
Electricity,11,21,0.706
Electricity,11,22,0.715
Electricity,11,23,0.708
Electricity,11,24,0.652
Electricity,12,1,0.309
Electricity,12,2,0.322
Electricity,12,3,0.298
Electricity,12,4,0.29
Electricity,12,5,0.2789999999999999
Electricity,12,6,0.276
Electricity,12,7,0.337
Electricity,12,8,0.5
Electricity,12,9,0.51
Electricity,12,10,0.532
Electricity,12,11,0.4589999999999999
Electricity,12,12,0.433
Electricity,12,13,0.431
Electricity,12,14,0.417
Electricity,12,15,0.382
Electricity,12,16,0.366
Electricity,12,17,0.372
Electricity,12,18,0.384
Electricity,12,19,0.474
Electricity,12,20,0.507
Electricity,12,21,0.51
Electricity,12,22,0.487
Electricity,12,23,0.456
Electricity,12,24,0.3229999999999999
Electricity,13,1,0.417
Electricity,14,1,0.55
