,,,GWP_supply
Electricity,1,1,0.299342
Electricity,1,2,0.299002
Electricity,1,3,0.29588099999999995
Electricity,1,4,0.30032600000000004
Electricity,1,5,0.306667
Electricity,1,6,0.329351
Electricity,1,7,0.314998
Electricity,1,8,0.28878
Electricity,1,9,0.28387450000000003
Electricity,1,10,0.27896899999999997
Electricity,1,11,0.285688
Electricity,1,12,0.264064
Electricity,1,13,0.265502
Electricity,1,14,0.276059
Electricity,1,15,0.286616
Electricity,1,16,0.27676100000000003
Electricity,1,17,0.26799700000000004
Electricity,1,18,0.246027
Electricity,1,19,0.263809
Electricity,1,20,0.27252699999999996
Electricity,1,21,0.272536
Electricity,1,22,0.325024
Electricity,1,23,0.330143
Electricity,1,24,0.34394699999999995
Electricity,2,1,0.31153800000000004
Electricity,2,2,0.35372699999999996
Electricity,2,3,0.383253
Electricity,2,4,0.359543
Electricity,2,5,0.371299
Electricity,2,6,0.35685500000000003
Electricity,2,7,0.34288
Electricity,2,8,0.340279
Electricity,2,9,0.32216
Electricity,2,10,0.28826999999999997
Electricity,2,11,0.30486599999999997
Electricity,2,12,0.290848
Electricity,2,13,0.26364
Electricity,2,14,0.265122
Electricity,2,15,0.276223
Electricity,2,16,0.29595800000000005
Electricity,2,17,0.313925
Electricity,2,18,0.284706
Electricity,2,19,0.26894
Electricity,2,20,0.277772
Electricity,2,21,0.313469
Electricity,2,22,0.326599
Electricity,2,23,0.284519
Electricity,2,24,0.270943
Electricity,3,1,0.043277
Electricity,3,2,0.056679
Electricity,3,3,0.052382
Electricity,3,4,0.040398
Electricity,3,5,0.051444000000000004
Electricity,3,6,0.049717
Electricity,3,7,0.037109
Electricity,3,8,0.040133
Electricity,3,9,0.032124
Electricity,3,10,0.027281
Electricity,3,11,0.053524999999999996
Electricity,3,12,0.061441
Electricity,3,13,0.08385
Electricity,3,14,0.09925700000000001
Electricity,3,15,0.090256
Electricity,3,16,0.053228000000000004
Electricity,3,17,0.031996
Electricity,3,18,0.033091999999999996
Electricity,3,19,0.028963000000000003
Electricity,3,20,0.029448000000000002
Electricity,3,21,0.031521
Electricity,3,22,0.031059
Electricity,3,23,0.034827
Electricity,3,24,0.042822000000000006
Electricity,4,1,0.13983199999999998
Electricity,4,2,0.149189
Electricity,4,3,0.139817
Electricity,4,4,0.128677
Electricity,4,5,0.111084
Electricity,4,6,0.124244
Electricity,4,7,0.16487000000000002
Electricity,4,8,0.20066499999999998
Electricity,4,9,0.186002
Electricity,4,10,0.193049
Electricity,4,11,0.19677799999999998
Electricity,4,12,0.171424
Electricity,4,13,0.16914500000000002
Electricity,4,14,0.158976
Electricity,4,15,0.152482
Electricity,4,16,0.14572799999999997
Electricity,4,17,0.160306
Electricity,4,18,0.18098599999999998
Electricity,4,19,0.185442
Electricity,4,20,0.214083
Electricity,4,21,0.220541
Electricity,4,22,0.166761
Electricity,4,23,0.160887
Electricity,4,24,0.16896799999999998
Electricity,5,1,0.045851
Electricity,5,2,0.027588
Electricity,5,3,0.028661000000000002
Electricity,5,4,0.031664000000000005
Electricity,5,5,0.032548
Electricity,5,6,0.047685000000000005
Electricity,5,7,0.110485
Electricity,5,8,0.134661
Electricity,5,9,0.17604499999999998
Electricity,5,10,0.163119
Electricity,5,11,0.16843
Electricity,5,12,0.18092599999999998
Electricity,5,13,0.140195
Electricity,5,14,0.147768
Electricity,5,15,0.157621
Electricity,5,16,0.147541
Electricity,5,17,0.131279
Electricity,5,18,0.165957
Electricity,5,19,0.171604
Electricity,5,20,0.138303
Electricity,5,21,0.128854
Electricity,5,22,0.151233
Electricity,5,23,0.144623
Electricity,5,24,0.162252
Electricity,6,1,0.16743599999999997
Electricity,6,2,0.14182
Electricity,6,3,0.13145500000000002
Electricity,6,4,0.087324
Electricity,6,5,0.073583
Electricity,6,6,0.09365699999999999
Electricity,6,7,0.139026
Electricity,6,8,0.194547
Electricity,6,9,0.18930000000000002
Electricity,6,10,0.18457099999999999
Electricity,6,11,0.156372
Electricity,6,12,0.14811600000000003
Electricity,6,13,0.153145
Electricity,6,14,0.151881
Electricity,6,15,0.13431700000000002
Electricity,6,16,0.118725
Electricity,6,17,0.13228299999999998
Electricity,6,18,0.13932
Electricity,6,19,0.162509
Electricity,6,20,0.16781200000000002
Electricity,6,21,0.146343
Electricity,6,22,0.15131799999999998
Electricity,6,23,0.177298
Electricity,6,24,0.157016
Electricity,7,1,0.24651599999999999
Electricity,7,2,0.24551800000000001
Electricity,7,3,0.24418
Electricity,7,4,0.216034
Electricity,7,5,0.214855
Electricity,7,6,0.214302
Electricity,7,7,0.233849
Electricity,7,8,0.247545
Electricity,7,9,0.249691
Electricity,7,10,0.249546
Electricity,7,11,0.233966
Electricity,7,12,0.22665100000000002
Electricity,7,13,0.204359
Electricity,7,14,0.203231
Electricity,7,15,0.200083
Electricity,7,16,0.20924299999999998
Electricity,7,17,0.209387
Electricity,7,18,0.198752
Electricity,7,19,0.224712
Electricity,7,20,0.23972200000000002
Electricity,7,21,0.22449400000000003
Electricity,7,22,0.214158
Electricity,7,23,0.223667
Electricity,7,24,0.20827400000000001
Electricity,8,1,0.09565900000000001
Electricity,8,2,0.09324800000000001
Electricity,8,3,0.094942
Electricity,8,4,0.095084
Electricity,8,5,0.090196
Electricity,8,6,0.080751
Electricity,8,7,0.078858
Electricity,8,8,0.083521
Electricity,8,9,0.073465
Electricity,8,10,0.07755
Electricity,8,11,0.06948100000000001
Electricity,8,12,0.069343
Electricity,8,13,0.087494
Electricity,8,14,0.06647800000000001
Electricity,8,15,0.06699
Electricity,8,16,0.06931699999999999
Electricity,8,17,0.055380000000000006
Electricity,8,18,0.067767
Electricity,8,19,0.11863599999999999
Electricity,8,20,0.165045
Electricity,8,21,0.151675
Electricity,8,22,0.160226
Electricity,8,23,0.19390100000000002
Electricity,8,24,0.169079
Electricity,9,1,0.13228499999999999
Electricity,9,2,0.083989
Electricity,9,3,0.084978
Electricity,9,4,0.077262
Electricity,9,5,0.106854
Electricity,9,6,0.077442
Electricity,9,7,0.074742
Electricity,9,8,0.08676
Electricity,9,9,0.139733
Electricity,9,10,0.12460800000000001
Electricity,9,11,0.09648000000000001
Electricity,9,12,0.08576299999999999
Electricity,9,13,0.10893000000000001
Electricity,9,14,0.083684
Electricity,9,15,0.0761
Electricity,9,16,0.072452
Electricity,9,17,0.071574
Electricity,9,18,0.08865700000000001
Electricity,9,19,0.137967
Electricity,9,20,0.205512
Electricity,9,21,0.216806
Electricity,9,22,0.199428
Electricity,9,23,0.195614
Electricity,9,24,0.155088
Electricity,10,1,0.047992
Electricity,10,2,0.051369
Electricity,10,3,0.041549
Electricity,10,4,0.042607
Electricity,10,5,0.039704
Electricity,10,6,0.037133
Electricity,10,7,0.055682
Electricity,10,8,0.16943400000000003
Electricity,10,9,0.17155900000000002
Electricity,10,10,0.189162
Electricity,10,11,0.10316299999999999
Electricity,10,12,0.10446899999999999
Electricity,10,13,0.101973
Electricity,10,14,0.10027
Electricity,10,15,0.097358
Electricity,10,16,0.099165
Electricity,10,17,0.092504
Electricity,10,18,0.092397
Electricity,10,19,0.16025999999999999
Electricity,10,20,0.17728799999999997
Electricity,10,21,0.154439
Electricity,10,22,0.15018700000000001
Electricity,10,23,0.159537
Electricity,10,24,0.06999
Electricity,11,1,0.250186
Electricity,12,1,0.14483600000000002
