ResourceBalances,Period,Time,GWP_supply
Electricity,7,23,0.105477302025
Electricity,7,24,0.10884497639999999
Electricity,8,1,0.037511132877500006
Electricity,8,2,0.0397447451725
Electricity,8,3,0.0431915961725
Electricity,8,4,0.0326907057575
Electricity,8,5,0.0268130023975
Electricity,8,6,0.02382
Electricity,8,7,0.02604
Electricity,8,8,0.024938885602500002
Electricity,8,9,0.0408913024
Electricity,8,10,0.061733956227500004
Electricity,8,11,0.05956738851500001
Electricity,8,12,0.058572499755
Electricity,8,13,0.0585886679175
Electricity,8,14,0.0565825966825
Electricity,8,15,0.046724112830000004
Electricity,8,16,0.025927589395
Electricity,8,17,0.0242
Electricity,8,18,0.02551
Electricity,8,19,0.02539
Electricity,8,20,0.02431
Electricity,8,21,0.01875
Electricity,8,22,0.019067420340000002
Electricity,8,23,0.017951674625
Electricity,8,24,0.0383987049475
Electricity,9,1,0.0322963114725
Electricity,9,2,0.0408660397725
Electricity,9,3,0.04222938096
Electricity,9,4,0.03867342685
Electricity,9,5,0.025981907132500003
Electricity,9,6,0.0233651923175
Electricity,9,7,0.02631744299
Electricity,9,8,0.051606247325
Electricity,9,9,0.07918702626250002
Electricity,9,10,0.07804125455000001
Electricity,9,11,0.08169536166250001
Electricity,9,12,0.08518292128499999
Electricity,9,13,0.0837100920275
Electricity,9,14,0.0750829908325
Electricity,9,15,0.052385439605
Electricity,9,16,0.03675038338
Electricity,9,17,0.0268517412975
Electricity,9,18,0.02588
Electricity,9,19,0.023329999999999997
Electricity,9,20,0.0223461746075
Electricity,9,21,0.0204968086375
Electricity,9,22,0.0195760049175
Electricity,9,23,0.0255167711725
Electricity,9,24,0.02917864509
Electricity,10,1,0.0288276504325
Electricity,10,2,0.0266859525
Electricity,10,3,0.02497735843
Electricity,10,4,0.0248878168175
Electricity,10,5,0.025606989017499998
Electricity,10,6,0.026210671860000003
Electricity,10,7,0.0294032329875
Electricity,10,8,0.0347002584375
Electricity,10,9,0.039215764815
Electricity,10,10,0.045391890835
Electricity,10,11,0.049894588045
Electricity,10,12,0.037891597915
Electricity,10,13,0.0375966201975
Electricity,10,14,0.041347734675
Electricity,10,15,0.0398794458275
Electricity,10,16,0.034688171154999996
Electricity,10,17,0.028281914722500003
Electricity,10,18,0.026973854545
Electricity,10,19,0.02647426399
Electricity,10,20,0.0247763407725
Electricity,10,21,0.02316052577
Electricity,10,22,0.0238324818625
Electricity,10,23,0.0382614783625
Electricity,10,24,0.045790274809999996
Electricity,11,1,0.0505790305275
Electricity,12,1,0.037262014575
