,,,GWP_supply
Electricity,9,20,0.23972200000000002
Electricity,9,21,0.22449400000000003
Electricity,9,22,0.214158
Electricity,9,23,0.223667
Electricity,9,24,0.20827400000000001
Electricity,10,1,0.178565
Electricity,10,2,0.165015
Electricity,10,3,0.15147
Electricity,10,4,0.14407299999999998
Electricity,10,5,0.14668799999999999
Electricity,10,6,0.144339
Electricity,10,7,0.15246
Electricity,10,8,0.160418
Electricity,10,9,0.17561900000000003
Electricity,10,10,0.168537
Electricity,10,11,0.159061
Electricity,10,12,0.17133700000000002
Electricity,10,13,0.158791
Electricity,10,14,0.15406299999999998
Electricity,10,15,0.160884
Electricity,10,16,0.163855
Electricity,10,17,0.162415
Electricity,10,18,0.173875
Electricity,10,19,0.208557
Electricity,10,20,0.233926
Electricity,10,21,0.24137899999999998
Electricity,10,22,0.236014
Electricity,10,23,0.244914
Electricity,10,24,0.184014
Electricity,11,1,0.13228499999999999
Electricity,11,2,0.083989
Electricity,11,3,0.084978
Electricity,11,4,0.077262
Electricity,11,5,0.106854
Electricity,11,6,0.077442
Electricity,11,7,0.074742
Electricity,11,8,0.08676
Electricity,11,9,0.139733
Electricity,11,10,0.12460800000000001
Electricity,11,11,0.09648000000000001
Electricity,11,12,0.08576299999999999
Electricity,11,13,0.10893000000000001
Electricity,11,14,0.083684
Electricity,11,15,0.0761
Electricity,11,16,0.072452
Electricity,11,17,0.071574
Electricity,11,18,0.08865700000000001
Electricity,11,19,0.137967
Electricity,11,20,0.205512
Electricity,11,21,0.216806
Electricity,11,22,0.199428
Electricity,11,23,0.195614
Electricity,11,24,0.155088
Electricity,12,1,0.047992
Electricity,12,2,0.051369
Electricity,12,3,0.041549
Electricity,12,4,0.042607
Electricity,12,5,0.039704
Electricity,12,6,0.037133
Electricity,12,7,0.055682
Electricity,12,8,0.16943400000000003
Electricity,12,9,0.17155900000000002
Electricity,12,10,0.189162
Electricity,12,11,0.10316299999999999
Electricity,12,12,0.10446899999999999
Electricity,12,13,0.101973
Electricity,12,14,0.10027
Electricity,12,15,0.097358
Electricity,12,16,0.099165
Electricity,12,17,0.092504
Electricity,12,18,0.092397
Electricity,12,19,0.16025999999999999
Electricity,12,20,0.17728799999999997
Electricity,12,21,0.154439
Electricity,12,22,0.15018700000000001
Electricity,12,23,0.159537
Electricity,12,24,0.06999
Electricity,13,1,0.250186
Electricity,14,1,0.14483600000000002
