HourOfYear,electricity_demand
1,417.05471499169
2,417.05471499169
3,417.05471499169
4,417.05471499169
5,417.05471499169
6,417.05471499169
7,447.7989184423935
8,450.0246688423935
9,450.0246688423935
10,450.0246688423935
11,450.0246688423935
12,450.0246688423935
13,450.0246688423935
14,450.0246688423935
15,450.0246688423935
16,450.0246688423935
17,450.0246688423935
18,450.0246688423935
19,450.0246688423935
20,435.4540952587698
21,433.22834485876984
22,433.22834485876984
23,417.05471499169
24,417.05471499169
25,417.05471499169
26,417.05471499169
27,417.05471499169
28,417.05471499169
29,417.05471499169
30,417.05471499169
31,447.7989184423935
32,450.0246688423935
33,450.0246688423935
34,450.0246688423935
35,450.0246688423935
36,450.0246688423935
37,450.0246688423935
38,450.0246688423935
39,450.0246688423935
40,450.0246688423935
41,450.0246688423935
42,450.0246688423935
43,450.0246688423935
44,435.4540952587698
45,433.22834485876984
46,433.22834485876984
47,417.05471499169
48,417.05471499169
49,417.05471499169
50,417.05471499169
51,417.05471499169
52,417.05471499169
53,417.05471499169
54,417.05471499169
55,447.7989184423935
56,450.0246688423935
57,450.0246688423935
58,450.0246688423935
59,450.0246688423935
60,450.0246688423935
61,450.0246688423935
62,450.0246688423935
63,450.0246688423935
64,450.0246688423935
65,450.0246688423935
66,450.0246688423935
67,450.0246688423935
68,435.4540952587698
69,433.22834485876984
70,433.22834485876984
71,417.05471499169
72,417.05471499169
73,417.05471499169
74,417.05471499169
75,417.05471499169
76,417.05471499169
77,417.05471499169
78,417.05471499169
79,447.7989184423935
80,450.0246688423935
81,450.0246688423935
82,450.0246688423935
83,450.0246688423935
84,450.0246688423935
85,450.0246688423935
86,450.0246688423935
87,450.0246688423935
88,450.0246688423935
89,450.0246688423935
90,450.0246688423935
91,450.0246688423935
92,435.4540952587698
93,433.22834485876984
94,433.22834485876984
95,417.05471499169
96,417.05471499169
97,417.05471499169
98,417.05471499169
99,417.05471499169
100,417.05471499169
101,417.05471499169
102,417.05471499169
103,447.7989184423935
104,450.0246688423935
105,450.0246688423935
106,450.0246688423935
107,450.0246688423935
108,450.0246688423935
109,450.0246688423935
110,450.0246688423935
111,450.0246688423935
112,450.0246688423935
113,450.0246688423935
114,450.0246688423935
115,450.0246688423935
116,435.4540952587698
117,433.22834485876984
118,433.22834485876984
119,417.05471499169
120,417.05471499169
121,417.05471499169
122,417.05471499169
123,417.05471499169
124,417.05471499169
125,417.05471499169
126,417.05471499169
127,447.7989184423935
128,450.0246688423935
129,450.0246688423935
130,450.0246688423935
131,450.0246688423935
132,450.0246688423935
133,450.0246688423935
134,450.0246688423935
135,450.0246688423935
136,450.0246688423935
137,450.0246688423935
138,450.0246688423935
139,450.0246688423935
140,435.4540952587698
141,433.22834485876984
142,433.22834485876984
143,417.05471499169
144,417.05471499169
145,417.05471499169
146,417.05471499169
147,417.05471499169
148,417.05471499169
149,417.05471499169
150,417.05471499169
151,447.7989184423935
152,450.0246688423935
153,450.0246688423935
154,450.0246688423935
155,450.0246688423935
156,450.0246688423935
157,450.0246688423935
158,450.0246688423935
159,450.0246688423935
160,450.0246688423935
161,450.0246688423935
162,450.0246688423935
163,450.0246688423935
164,435.4540952587698
165,433.22834485876984
166,433.22834485876984
167,417.05471499169
168,417.05471499169
169,417.05471499169
170,417.05471499169
171,417.05471499169
172,417.05471499169
173,417.05471499169
174,417.05471499169
175,447.7989184423935
176,450.0246688423935
177,450.0246688423935
178,450.0246688423935
179,450.0246688423935
180,450.0246688423935
181,450.0246688423935
182,450.0246688423935
183,450.0246688423935
184,450.0246688423935
185,450.0246688423935
186,450.0246688423935
187,450.0246688423935
188,435.4540952587698
189,433.22834485876984
190,433.22834485876984
191,417.05471499169
192,417.05471499169
193,429.40762971169
194,432.74625531169
195,432.74625531169
196,432.74625531169
197,432.74625531169
198,432.74625531169
199,463.4904587623935
200,547.0603180871616
201,571.1871424248817
202,595.4703892871617
203,618.8407684871618
204,595.4703892871617
205,445.0148219763217
206,572.1000100871618
207,618.8407684871618
208,595.4703892871617
209,592.1317636871618
210,547.0603180871616
211,465.7162091623935
212,451.1456355787698
213,448.91988517876985
214,448.91988517876985
215,432.74625531169
216,432.74625531169
217,417.05471499169
218,417.05471499169
219,417.05471499169
220,417.05471499169
221,417.05471499169
222,417.05471499169
223,447.7989184423935
224,450.0246688423935
225,450.0246688423935
226,450.0246688423935
227,450.0246688423935
228,450.0246688423935
229,450.0246688423935
230,450.0246688423935
231,450.0246688423935
232,450.0246688423935
233,450.0246688423935
234,450.0246688423935
235,450.0246688423935
236,435.4540952587698
237,433.22834485876984
238,433.22834485876984
239,417.05471499169
240,417.05471499169
241,417.05471499169
242,417.05471499169
243,417.05471499169
244,417.05471499169
245,417.05471499169
246,417.05471499169
247,447.7989184423935
248,450.0246688423935
249,450.0246688423935
250,450.0246688423935
251,450.0246688423935
252,450.0246688423935
253,450.0246688423935
254,450.0246688423935
255,450.0246688423935
256,450.0246688423935
257,450.0246688423935
258,450.0246688423935
259,450.0246688423935
