size_DC,Q_building,Q_DC,E_HP,E_DC,E_HP_DC
50kW,50829.06173143787,104.6130237669773,29005.41390059196,119.4538914175349,0.0
1MW,50574.59001848,1947.540355629374,27829.79784413807,2385.6112314763927,0.0
2MW,50574.59001848,3808.2323577227353,26796.37775255671,4771.2224629527855,0.0
5MW,50829.06173143787,9194.812677338183,23968.400643593373,11945.389141753489,0.0
10MW,50829.06173143787,17660.970166917043,19340.478690690652,23890.778283506977,0.0
20MW,50829.06173143787,32564.393813698698,11388.278688117172,47781.556567013955,0.0
30MW,50829.06173143787,44164.896890770906,5558.337376708608,71672.33485052094,0.0
40MW,50829.06173143787,52218.187319865254,2007.622196447531,95563.11313402791,0.0
50MW,50574.59001848,57141.12688635513,311.0103592359141,119280.5615738196,0.0
