Hour,gwp
447,276.223
448,295.958
449,313.925
450,284.706
451,268.94
452,277.772
453,313.469
454,326.599
455,284.519
456,270.943
457,304.039
458,313.445
459,324.982
460,336.31199999999995
461,340.82199999999995
462,343.26800000000003
463,358.00199999999995
464,363.198
465,365.008
466,333.38699999999994
467,302.59
468,292.05400000000003
469,282.97900000000004
470,291.035
471,338.884
472,331.17900000000003
473,297.038
474,290.215
475,233.957
476,243.238
477,285.027
478,320.253
479,335.281
480,315.28700000000003
481,358.436
482,365.408
483,366.48800000000006
484,353.666
485,354.921
486,349.265
487,283.829
488,219.854
489,230.756
490,227.993
491,230.412
492,201.052
493,199.075
494,212.829
495,231.427
496,221.081
497,194.225
498,227.67
499,233.318
500,228.746
501,193.197
502,230.932
503,258.621
504,280.432
505,318.623
506,342.196
507,316.861
508,309.91900000000004
509,300.545
510,302.67900000000003
511,303.701
512,259.67
513,247.011
514,257.153
515,236.866
516,222.593
517,201.717
518,201.117
519,216.452
520,236.263
521,236.696
522,225.374
523,225.833
524,210.766
525,210.0
526,248.705
527,274.244
528,297.291
529,308.472
530,320.935
531,325.818
532,305.28700000000003
533,297.58
534,313.118
535,260.463
536,252.333
537,265.566
538,241.772
539,245.541
540,236.206
541,226.338
542,222.146
543,226.449
544,238.661
545,237.204
546,227.993
547,227.562
548,228.462
549,215.438
550,227.055
551,238.787
552,241.084
553,280.706
554,273.583
555,296.806
556,302.085
557,287.705
558,268.322
559,214.968
560,238.537
561,238.386
562,237.922
563,247.071
564,238.014
565,252.286
566,247.09
567,231.478
568,228.197
569,224.262
570,239.154
571,249.357
572,243.574
573,212.363
574,221.11900000000003
575,227.899
576,270.051
577,302.896
578,298.242
579,330.75699999999995
580,311.898
581,290.507
582,268.244
583,230.544
584,229.689
585,223.187
586,219.563
587,200.615
588,201.044
589,164.984
590,181.382
591,201.947
592,226.835
593,223.518
594,221.347
595,238.102
596,222.451
597,211.918
598,261.545
599,250.686
600,245.828
601,255.061
602,241.641
603,257.524
604,256.48
605,262.48900000000003
606,276.085
607,280.26
608,275.43
609,287.784
610,295.699
611,264.411
612,257.101
613,254.65
614,246.009
615,235.168
616,213.834
617,211.996
618,240.983
619,251.052
620,248.073
621,238.566
622,213.028
623,224.132
624,211.978
625,185.38
626,185.722
627,182.655
628,159.018
629,153.834
630,154.985
631,159.7
632,156.317
633,173.255
634,191.816
635,208.786
636,184.189
637,208.996
638,192.843
639,186.167
640,175.206
641,182.205
642,223.167
643,270.482
644,292.253
645,303.075
646,268.74
647,274.697
648,268.389
649,253.657
650,245.586
651,200.804
652,186.179
653,199.921
654,232.819
655,243.851
656,279.492
657,288.85400000000004
658,287.966
659,268.465
660,263.529
661,244.153
662,259.557
663,261.54200000000003
664,250.731
665,255.652
666,238.355
667,261.447
668,257.086
669,248.93400000000003
670,294.815
671,291.556
672,301.335
673,299.342
674,299.002
675,295.881
676,300.326
677,306.66700000000003
678,329.351
679,314.998
680,288.78
681,283.8745
682,278.969
683,285.688
684,264.064
685,265.502
686,276.059
687,286.616
688,276.761
689,267.997
690,246.027
691,263.809
692,272.527
693,272.536
694,325.024
695,330.14300000000003
696,343.94699999999995
697,288.932
698,300.211
699,289.059
700,276.904
701,273.401
702,297.244
703,304.302
704,279.498
705,274.642
706,274.738
707,263.83
708,245.721
709,253.526
710,242.787
711,261.93
712,264.435
713,265.076
714,269.41549999999995
715,273.755
716,254.246
717,243.556
718,285.759
719,304.857
720,298.499
721,311.257
722,302.944
723,312.752
724,321.143
725,341.713
726,354.915
727,326.779
728,283.97
729,305.349
730,295.862
731,284.156
732,282.219
733,284.318
734,295.37
735,283.089
736,278.627
737,282.769
738,274.642
739,286.332
740,255.838
741,281.656
742,280.693
743,281.875
744,288.107
745,272.375
746,254.361
747,249.959
748,218.884
749,207.071
750,241.956
751,279.273
752,263.846
753,268.521
754,267.157
755,257.698
756,267.012
757,263.533
758,276.30400000000003
759,270.177
760,269.87
761,258.612
762,253.875
763,252.881
764,244.408
765,242.713
766,296.258
767,308.35900000000004
768,325.361
769,312.951
770,295.773
771,268.881
772,238.912
773,229.781
774,238.633
775,260.166
776,281.821
777,288.72
778,290.695
779,279.777
780,265.057
781,277.67
782,261.0
783,257.534
784,263.41900000000004
785,244.213
786,248.937
787,279.046
788,350.325
789,363.489
790,368.0
791,376.78
792,369.391
793,370.27
794,349.963
795,322.23
796,276.779
797,256.777
798,265.016
799,301.396
800,322.312
801,331.19199999999995
802,324.98900000000003
803,325.105
804,305.442
805,298.421
806,311.883
807,318.378
808,312.709
809,301.51
810,290.246
811,327.875
812,346.333
813,332.042
814,336.565
815,335.444
816,331.365
817,323.9755
818,316.586
819,304.84
820,279.93
821,277.42400000000004
822,319.432
823,331.085
824,321.691
825,320.699
826,303.514
827,295.197
828,285.647
829,267.1135
830,248.58
831,253.141
832,268.259
833,269.34
834,275.842
835,272.445
836,262.48400000000004
837,253.781
838,256.38
839,254.497
840,248.417
841,250.186
842,243.56
843,256.49
844,279.497
845,298.33
846,315.868
847,298.155
848,288.187
849,286.96
850,277.85
851,261.67
852,263.231
853,263.065
854,263.065
855,262.899
856,254.161
857,261.9625
858,269.764
859,285.1685
860,300.573
861,301.318
862,331.629
863,323.621
864,318.863
865,302.74
866,285.533
867,292.123
868,275.471
869,259.431
870,291.635
871,307.235
872,288.9
873,278.731
874,277.437
875,270.54400000000004
876,273.49850000000004
877,276.453
878,279.199
879,285.982
880,290.708
881,272.731
882,276.252
883,283.323
884,276.621
885,292.353
886,300.694
887,299.057
888,311.443
889,274.72
890,257.574
891,257.66
892,225.925
893,205.565
894,221.253
895,255.058
896,268.848
897,258.843
898,255.0735
899,251.304
900,227.795
901,216.702
902,222.928
903,220.899
904,212.105
905,216.541
906,222.9075
907,229.274
908,226.591
909,215.193
910,202.633
911,192.75
912,200.614
913,180.225
914,186.999
915,191.882
916,188.5
917,197.036
918,218.83900000000003
919,228.855
920,250.674
921,250.475
922,230.47
923,216.28
924,215.864
925,207.025
926,186.34
927,182.535
928,193.348
929,187.487
930,202.215
931,221.002
932,203.557
933,183.343
934,168.908
935,149.77
936,155.243
937,137.345
938,125.021
939,119.224
940,116.568
941,109.582
942,117.046
943,121.181
944,124.187
945,138.156
946,131.424
947,132.465
948,131.315
949,119.233
950,119.467
951,116.689
952,120.13
953,133.94899999999998
954,145.615
955,174.292
956,169.75099999999998
957,151.817
958,130.705
959,144.451
960,131.95600000000002
961,148.876
962,125.097
963,124.534
964,112.454
965,104.367
966,112.864
967,115.685
968,120.895
969,115.2
970,114.464
971,114.722
972,113.838
973,115.389
974,112.962
975,105.073
976,98.291
977,96.648
978,109.251
979,113.535
980,125.52
981,118.863
982,113.57
983,121.877
984,122.431
985,133.05
986,135.168
987,132.46200000000002
988,125.245
989,128.364
990,146.55100000000002
991,188.429
992,218.172
993,256.709
994,246.677
995,250.191
996,239.073
997,200.94
998,193.548
999,199.058
1000,210.416
1001,216.733
1002,231.539
1003,228.36900000000003
1004,229.816
1005,232.163
1006,224.93
1007,227.097
1008,232.346
1009,213.634
1010,199.351
1011,203.09
1012,205.769
1013,217.631
1014,260.6
1015,290.701
1016,296.627
1017,315.119
1018,311.189
1019,300.183
1020,308.269
1021,295.22700000000003
1022,284.159
1023,284.788
1024,281.959
1025,292.931
1026,309.618
1027,321.121
1028,286.995
1029,283.8
1030,267.571
1031,264.23900000000003
1032,271.514
1033,258.194
1034,253.906
1035,245.023
1036,237.138
1037,261.28
1038,259.394
1039,295.66700000000003
1040,292.375
1041,275.636
1042,273.083
1043,277.035
1044,280.182
1045,266.198
1046,264.99
1047,275.508
1048,271.381
1049,272.508
1050,289.509
1051,286.397
1052,272.499
1053,294.035
1054,304.006
1055,306.564
1056,297.678
1057,290.766
1058,293.83
1059,301.473
1060,301.836
1061,299.1
1062,312.92400000000004
1063,320.848
1064,261.85200000000003
1065,265.491
1066,275.392
1067,280.896
1068,272.546
1069,272.53
1070,282.516
1071,272.205
1072,260.243
1073,248.504
1074,229.293
1075,246.726
1076,257.749
1077,284.337
1078,295.654
1079,318.827
1080,326.583
1081,311.16
1082,281.15
1083,299.555
1084,298.634
1085,289.243
1086,311.454
1087,272.952
1088,260.747
1089,258.298
1090,286.357
1091,292.127
1092,299.378
1093,277.791
1094,269.277
1095,252.907
1096,231.048
1097,221.323
1098,206.604
1099,216.615
1100,199.315
1101,226.618
1102,245.228
1103,252.773
1104,252.835
1105,236.334
1106,234.103
1107,255.904
1108,253.656
1109,257.17
1110,257.811
1111,256.875
1112,248.314
1113,254.368
1114,234.905
1115,230.835
1116,258.326
1117,256.802
1118,234.217
1119,241.155
1120,240.316
1121,221.627
1122,218.911
1123,242.005
1124,252.798
1125,277.828
1126,274.862
1127,269.025
1128,313.889
1129,305.461
1130,310.04200000000003
1131,311.816
1132,277.684
1133,250.312
1134,266.524
1135,270.826
1136,251.11
1137,238.584
1138,242.896
1139,237.484
1140,238.843
1141,235.475
1142,211.031
1143,200.191
1144,200.93400000000003
1145,181.835
1146,165.627
1147,169.118
1148,202.671
1149,222.53
1150,221.68400000000003
1151,247.335
1152,258.414
1153,228.467
1154,224.337
1155,231.065
1156,219.703
1157,230.334
1158,251.115
1159,237.978
1160,222.754
1161,242.445
1162,248.465
1163,252.136
1164,248.003
1165,241.478
1166,244.2
1167,243.599
1168,239.192
1169,212.707
1170,154.514
1171,210.798
1172,221.008
1173,227.36900000000003
1174,240.908
1175,241.331
1176,239.926
1177,268.03
1178,243.719
1179,248.804
1180,254.218
1181,263.284
1182,279.961
1183,270.594
1184,272.324
1185,263.78700000000003
1186,262.846
1187,260.095
1188,239.947
1189,206.659
1190,208.877
1191,221.554
1192,235.134
1193,231.888
1194,248.356
1195,278.123
1196,279.055
1197,252.334
1198,248.522
1199,254.547
1200,247.511
1201,252.514
1202,251.078
1203,251.97
1204,264.903
