size_DC,Q_building,Q_DHW,Q_SH,Q_DC_ORC,Q_DC_HP_demand,Q_DC_HP_supply,Q_main_HP,Heat_DC_supply,Heat_direct_supply,E_building,E_HP,E_DC_HP,E_DC,E_battery_demand,E_battery_supply,E_pv_supply,E_ORC_supply,E_network_supply,Solar_gains
2MW,50574.59001848,466.23079791148996,42522.1707177965,0,0,0,50580.864379360006,0.0,0.0,2834.364042472679,28919.02147964789,0,4771.2224629527855,29.56878259128679,23.932550324832032,1949.9307553898002,0,34609.415269094825,0.0
DC,50574.59001848,466.23079791148996,42522.1707177965,867.7598938341883,0,0,46868.250708760606,4580.3735644346725,3712.613670600484,2834.364042472679,26796.37775255671,0,4771.2224629527855,29.56878259128679,23.93255031963537,1949.9307553898002,78.09839044507679,32429.048764432544,0.0
DC,50574.59001848,466.23079791148996,42522.1707177965,4580.3735644346725,0.0,6733.510227734387,43847.35415162203,4580.3735644346725,0.0,2834.364042472679,25069.215247612512,2986.9186283031054,4771.2224629527855,29.56878259128679,23.93255031963537,1949.9307553898002,412.23362079912056,33347.57898650447,0.0
