size_DC,Q_building,Q_DC,E_HP,E_DC
50kW,50814.543556201264,192.48668595314905,25904.485471031254,119.4538914175349
1MW,50574.53851638773,3699.0303473870704,23248.713045660974,2385.6112314763927
2MW,50574.53851638773,7226.02216834965,20758.94978710704,4771.2224629527855
5MW,50814.543556201264,17038.809216027654,14043.830438544008,11945.389141753489
10MW,50814.543556201264,28748.132414961652,5611.057508288924,23890.778283506977
20MW,50814.543556201264,34841.130393130596,22.09975941042805,47781.556567013955
30MW,50814.543556201264,37365.435225860376,0.0,71672.33485052094
40MW,50814.543556201264,47739.17161823694,0.0,95563.11313402791
50MW,50574.53851638773,64811.87201652469,0.0,119280.5615738196
