Layer,Unit,Period,Time,Units_demand,Units_supply,Units_curtailment,BAT_E_stored
Electricity,Air_Conditioner_Air_Building4,4,12,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,4,13,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,4,14,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,4,15,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,4,16,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,4,17,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,4,18,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,4,19,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,4,20,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,4,21,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,4,22,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,4,23,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,4,24,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,5,1,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,5,2,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,5,3,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,5,4,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,5,5,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,5,6,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,5,7,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,5,8,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,5,9,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,5,10,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,5,11,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,5,12,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,5,13,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,5,14,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,5,15,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,5,16,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,5,17,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,5,18,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,5,19,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,5,20,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,5,21,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,5,22,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,5,23,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,5,24,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,6,1,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,6,2,0.0,0.0,0.0,
Electricity,Air_Conditioner_Air_Building4,6,3,0.0,0.0,0.0,
